,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L1151,0.00012455741,3.1777658e-05,0.00024529407,0.0007977714,0.0010366947,0.0003338738,6.248709e-06,0.00016336632,1.6367761e-05,3.4889905e-05,1.497101e-07,9.194715e-06,1.4237594e-06,3.1366944e-06,1.2708595e-05,0.0002911985,1.4291145e-06,2.2843014e-06,2.1635089e-05,1.5527243e-05,1.4295802e-07,2.1666288e-05,3.5686884e-05
L1152,0.0001141876,2.9393472e-05,0.00022896146,0.0007470413,0.0010016598,0.00031829765,5.7322904e-06,0.00018014712,1.53305e-05,3.3539254e-05,1.8905848e-07,8.549076e-06,1.43121e-06,2.9180665e-06,1.1903467e-05,0.00028213533,1.3080426e-06,2.1643937e-06,2.0204345e-05,1.4532823e-05,1.3434328e-07,2.02402e-05,3.3381395e-05
L1153,0.00012220349,3.195787e-05,0.0002465425,0.00080164475,0.0010394065,0.00033518253,6.2778126e-06,0.000163869,1.6544946e-05,3.5112025e-05,1.6298145e-07,9.26503e-06,1.4342368e-06,3.1478703e-06,1.2775417e-05,0.0002923254,1.4419202e-06,2.2915192e-06,2.1995045e-05,1.5847618e-05,1.4109537e-07,2.2045337e-05,3.605429e-05
L1168,4.811422e-05,2.14678e-05,3.04922e-05,4.2181928e-06,4.4171466e-06,4.3287873e-06,4.569534e-06,1.4659367e-05,3.0632364e-06,2.7478673e-06,4.8801303e-07,2.9546209e-06,1.5830155e-06,2.4194596e-06,4.7136564e-07,5.683396e-06,9.842683e-06,1.2870878e-06,6.0508028e-06,5.165348e-07,2.1711458e-07,5.466398e-06,1.1230586e-06
L1258,0.0010164098,2.0372681e-10,2.9831426e-10,5.0931703e-11,0.0,5.820766e-11,4.3655746e-11,1.2369128e-10,6.548362e-11,1.3096724e-10,1.3096724e-10,1.2369128e-10,4.3655746e-11,2.910383e-11,4.3655746e-11,1.3096724e-10,6.548362e-11,1.4551915e-11,8.731149e-11,7.275958e-12,0.0,1.0186341e-10,8.0035534e-11
L128,5.282778e-06,2.6753478e-06,2.5255358e-06,1.4120451e-06,5.6902354e-07,2.9544026e-07,9.044743e-08,3.2559838e-06,8.1805047e-07,5.5501005e-07,1.0081567e-06,4.6561763e-07,1.253029e-06,5.553011e-08,1.8184801e-07,6.0055754e-08,7.836934e-08,2.8747309e-08,2.1907908e-07,1.1314842e-07,2.910383e-09,2.4463952e-07,5.141919e-07
L1319,0.00095054694,2.8376235e-10,5.020411e-10,1.5643309e-10,3.0197043e-07,3.0169394e-07,2.5102054e-10,1.4915713e-10,2.2191671e-10,5.820766e-10,4.0381565e-10,2.0372681e-10,9.094947e-11,1.5643309e-10,6.548362e-11,3.5288394e-10,2.8012437e-10,8.367351e-11,2.2919266e-10,3.274181e-10,7.275958e-12,2.1464075e-10,4.3655746e-10
L1470,4.951289e-07,9.787764e-07,1.5019759e-06,7.665658e-07,2.888337e-07,6.363043e-07,4.2336615e-07,1.0074291e-07,1.3229146e-07,2.005807e-06,1.5948535e-06,6.961636e-07,4.5268825e-07,6.5795757e-07,1.0501317e-06,1.9147992e-06,3.2434182e-06,3.8711732e-07,2.8968498e-07,3.944988e-06,2.5233021e-08,9.865616e-07,1.7558486e-06
L1485,1.3064273e-06,5.4278644e-09,1.3249519e-07,1.276494e-07,3.700552e-08,1.1616794e-07,3.2305252e-09,5.4166594e-07,3.1199306e-08,7.801282e-08,8.518691e-08,1.5919795e-08,5.941547e-08,1.8291757e-08,7.3341653e-09,4.6697096e-08,1.6359263e-07,1.2267265e-07,8.531788e-08,1.7495768e-07,5.1921234e-08,4.4630724e-08,3.0428055e-08
L1500,5.588634e-06,1.0202057e-06,7.125782e-06,4.122383e-06,6.2567997e-06,1.6705017e-06,1.6589183e-08,6.463361e-05,2.9830262e-06,7.271592e-06,6.307615e-06,3.840949e-06,2.1632877e-06,9.218056e-06,4.2520696e-07,1.9514584e-05,5.334086e-05,1.4910474e-06,1.7457292e-05,8.061528e-05,4.0396117e-07,5.3625554e-06,8.04197e-06
L1503,1.8283143e-05,2.0245789e-06,2.098456e-05,1.292245e-05,9.624171e-06,8.546049e-07,1.17318705e-05,0.00014666258,9.119045e-06,1.6443897e-05,1.3762154e-05,6.399583e-06,1.3550743e-07,2.1586427e-05,3.1804666e-06,2.3827422e-05,8.852244e-05,6.003538e-06,4.1339546e-05,0.00015983125,1.0007061e-06,1.0006828e-05,1.5953556e-05
L1510,7.309136e-06,5.6687277e-06,9.772368e-06,1.03398925e-05,2.9590447e-06,1.6815378e-05,6.8855006e-06,5.2499818e-05,5.2717514e-06,4.642876e-06,3.7355348e-06,1.405715e-06,7.1907416e-06,9.858399e-06,4.747999e-06,1.4577061e-05,5.113124e-05,4.966161e-06,2.4000765e-05,8.355407e-05,5.4226257e-07,2.3829052e-06,3.9695296e-06
L155,1.8529608e-06,1.1211014e-06,1.0285294e-06,4.611138e-07,2.2785389e-07,1.3501995e-07,4.346657e-08,1.6867925e-06,4.2867032e-07,3.1298987e-07,5.463371e-07,2.56754e-07,7.194467e-07,2.9453076e-08,8.931238e-08,2.9598596e-08,3.51356e-08,1.3278623e-08,1.0801887e-07,5.611946e-08,1.4260877e-09,1.17936e-07,2.5946065e-07
L1625,2.76856e-05,6.566115e-06,2.649345e-05,8.987845e-07,4.288391e-06,7.954834e-06,6.877526e-06,8.341449e-06,5.9892773e-06,1.0798685e-05,5.692127e-05,1.3485551e-06,2.505316e-06,7.2338153e-06,1.2665987e-07,6.0854363e-06,2.0815525e-05,1.5384285e-06,1.1822733e-05,8.88994e-06,6.745104e-07,5.4936972e-06,1.3096549e-05
L20,2.3037574e-06,5.8727164e-07,4.7375215e-07,2.5752524e-07,3.460591e-07,2.4227484e-07,5.630136e-08,5.8051955e-07,9.908399e-08,1.4570833e-07,6.184564e-09,8.553616e-08,3.3323886e-09,2.9132934e-08,9.263749e-08,3.1621312e-08,1.8364517e-08,1.4697434e-08,1.1616794e-07,6.413029e-08,1.5279511e-09,1.11875124e-07,2.2395398e-07
L2208,9.980231e-07,2.774741e-07,5.519223e-07,5.625852e-07,8.814186e-08,4.5603883e-08,9.265932e-09,6.297523e-08,6.518076e-08,1.15979674e-07,6.999471e-08,4.5741217e-08,1.7353159e-09,5.628135e-08,8.723691e-08,4.30191e-08,5.1304596e-09,1.4295438e-08,3.248533e-08,3.3164724e-08,1.5979822e-09,4.476351e-08,3.3535798e-08
L221,4.7879294e-06,6.8086374e-06,5.3135445e-06,6.3685293e-06,1.8988794e-06,1.020846e-06,1.7054845e-07,1.9521976e-06,2.5326444e-06,7.6484866e-07,2.3185858e-06,1.5377009e-06,3.2261596e-06,1.5549886e-06,3.6647543e-07,1.6097329e-07,1.6271952e-07,7.295064e-05,7.4482523e-07,4.2666215e-07,7.741619e-09,8.4892963e-07,1.273118e-06
L2361,6.657606e-05,4.4920016e-06,1.3496145e-05,2.816564e-05,3.86897e-05,7.5884163e-06,2.1280604e-05,2.1399115e-05,1.22941565e-05,1.2221746e-05,8.0122496e-05,3.5776757e-06,3.5007251e-06,1.6134e-06,5.7023717e-06,5.371636e-06,1.2144446e-06,6.025657e-07,3.8425205e-06,1.8603867e-05,3.2646349e-06,3.1456584e-06,7.912749e-06
L2366,0.000828405,1.3151875e-06,1.0915683e-06,8.088973e-07,2.713059e-07,1.1136581e-07,3.0180672e-08,1.318811e-06,3.248133e-07,2.6461203e-07,4.3245382e-07,2.0264997e-07,5.457405e-07,6.8394e-10,6.263144e-08,2.073648e-08,2.3588655e-08,5.7043508e-09,7.569906e-08,3.921741e-08,9.895302e-10,8.175266e-08,1.759472e-07
L2426,5.5926153e-05,8.874573e-06,2.520124e-05,9.99996e-06,5.9001613e-06,2.0107254e-06,2.925843e-05,1.697836e-05,1.7062877e-05,1.0230113e-05,1.2572855e-07,2.188608e-07,2.0920648e-05,2.4352223e-05,1.3913261e-05,6.3895714e-06,4.620035e-05,1.791981e-06,5.3092488e-05,8.848787e-05,1.2299279e-06,2.0314474e-06,1.0094256e-05
L250,1.04139035e-05,6.5233035e-06,4.9419614e-06,2.6173948e-06,1.1460943e-06,6.820919e-07,2.3479515e-07,1.0869437e-05,2.585337e-06,2.2873282e-06,3.6424026e-06,1.69962e-06,4.518515e-06,6.426126e-08,5.040056e-07,1.648441e-07,1.8475112e-07,3.1737727e-08,6.004848e-07,3.050518e-07,7.916242e-09,6.4434425e-07,1.3892422e-06
L256,3.2479235e-05,1.8691062e-05,1.4705583e-05,8.204661e-06,3.4573022e-06,1.9492581e-06,6.426126e-07,3.0827767e-05,7.2860857e-06,6.323273e-06,1.0040472e-05,4.6867644e-06,1.2446777e-05,1.7596176e-07,1.3870304e-06,4.57454e-07,5.0867675e-07,8.7253284e-08,1.6525155e-06,8.395873e-07,2.1769665e-08,1.7732964e-06,3.8231374e-06
L257,4.973926e-05,2.6796071e-05,2.192182e-05,1.2260862e-05,5.8150035e-06,3.2488024e-06,7.993076e-07,4.4375833e-05,1.0458869e-05,8.734933e-06,1.3787649e-05,6.350456e-06,1.6515027e-05,2.2299355e-07,1.825043e-06,6.437185e-07,6.707269e-07,1.12107955e-07,2.3689354e-06,1.2999517e-06,2.8230716e-08,2.5335466e-06,5.0536473e-06
L27,9.104766e-06,1.3755525e-06,2.7013048e-06,2.8920404e-06,2.4985275e-06,1.1980228e-06,4.270987e-09,1.3305144e-06,3.3675315e-07,3.8752114e-07,6.050686e-08,9.913492e-08,1.6861668e-07,4.0468876e-08,2.0555308e-07,1.6994818e-07,1.166336e-08,5.5770215e-09,3.4044206e-07,3.3918332e-07,2.1354936e-09,4.2283136e-07,4.5656998e-07
L271,7.84258e-06,2.765708e-06,2.9445946e-06,1.7166822e-06,1.2744422e-06,7.0120586e-07,1.3518729e-08,4.598216e-06,1.082517e-06,5.968177e-07,9.0106914e-07,3.4284312e-07,5.5831333e-07,1.8626451e-09,4.7584763e-08,5.4526026e-08,1.8641003e-08,5.2386895e-10,2.3706525e-07,2.0963489e-07,2.3283064e-10,2.4687324e-07,1.5416299e-07
L278,5.682488e-05,2.7869362e-05,2.3554428e-05,1.3717799e-05,6.80855e-06,3.6841957e-06,7.3888805e-07,6.969937e-05,1.0595773e-05,8.503557e-06,1.3520126e-05,6.146147e-06,1.6001402e-05,2.0314474e-07,1.7608982e-06,6.5821223e-07,6.48899e-07,1.0523945e-07,2.4102628e-06,1.3797544e-06,2.6775524e-08,2.5755726e-06,4.906673e-06
L280,3.9779814e-05,1.953455e-05,1.6619742e-05,9.793614e-06,4.520407e-06,2.3704488e-06,5.453476e-07,6.91507e-06,7.090275e-06,5.824608e-06,9.250129e-06,4.2567845e-06,1.1097116e-05,1.4947727e-07,1.2264936e-06,4.323083e-07,4.505855e-07,7.52043e-08,1.5910482e-06,8.731149e-07,1.8975697e-08,1.7014099e-06,3.3946126e-06
L286,4.648918e-05,2.3480097e-05,1.9605504e-05,1.1456956e-05,5.213369e-06,2.7795904e-06,6.837654e-07,1.33730355e-05,8.634175e-06,7.190625e-06,1.1424534e-05,5.272799e-06,1.3793353e-05,1.8731225e-07,1.5262049e-06,5.3073745e-07,5.6042336e-07,9.383075e-08,1.9499566e-06,1.0567019e-06,2.3748726e-08,2.0866282e-06,4.2216852e-06
L290,4.380563e-05,2.5729329e-05,2.3086643e-05,1.1412456e-05,5.427137e-06,3.2005482e-06,1.0278891e-06,3.9297767e-05,1.0048505e-05,7.203489e-06,1.267856e-05,5.9565064e-06,1.6822363e-05,6.5157656e-07,2.1017622e-06,6.9697853e-07,8.2934275e-07,3.298046e-07,2.5426853e-06,1.3217796e-06,3.3469405e-08,2.778368e-06,5.93235e-06
L302,0.0005355575,6.560673e-06,6.761373e-06,6.583781e-06,1.7584243e-06,7.931376e-07,2.3277244e-07,8.726725e-06,2.5509507e-06,2.101151e-06,3.4607947e-06,1.6409904e-06,4.398462e-06,1.4077523e-07,4.885369e-07,1.6210834e-07,1.8117134e-07,8.114148e-08,5.911861e-07,3.0724914e-07,7.799827e-09,6.3641346e-07,1.3395911e-06
L304,0.00052840007,8.37128e-06,8.600531e-06,8.3951745e-06,2.2409367e-06,1.0170043e-06,2.9837247e-07,1.1610915e-05,3.2756361e-06,2.7000206e-06,4.4425833e-06,2.1074666e-06,5.6484714e-06,1.808512e-07,6.2736217e-07,2.081506e-07,2.3265602e-07,1.04133505e-07,7.592025e-07,3.9453153e-07,9.895302e-09,8.1729377e-07,1.7202692e-06
L305,0.00042163825,5.7009747e-05,5.056674e-05,0.00057857984,4.757545e-06,2.2480963e-06,6.2177423e-07,2.7289847e-05,7.1859686e-06,5.86675e-06,9.717536e-06,4.614354e-06,1.235737e-05,3.942987e-07,1.3709068e-06,4.550675e-07,5.083857e-07,2.2759195e-07,1.6588019e-06,8.625211e-07,2.1769665e-08,1.7861603e-06,3.758585e-06
L3073,1.7353334e-05,2.2176479e-05,2.0188454e-05,4.7747744e-07,1.4578109e-06,1.0184594e-06,1.0922085e-06,8.0891186e-07,9.4925053e-07,6.7055225e-07,5.029142e-07,3.6490383e-07,6.327755e-07,2.1603773e-06,1.8626451e-07,1.2313831e-06,7.469207e-07,6.3568586e-07,1.928187e-06,5.5652345e-07,1.6967533e-07,8.4226485e-08,9.148498e-07
L3077,4.908198e-05,4.316005e-05,8.9483685e-05,1.1172378e-06,3.7110876e-06,1.7600833e-06,1.8302817e-06,1.6026897e-06,1.9219005e-06,6.5308996e-07,6.327173e-08,2.4423935e-07,1.2208475e-06,4.3451437e-06,8.4156636e-07,2.9556104e-06,1.5996047e-06,8.8027446e-07,3.7721475e-06,1.1345837e-06,2.4714973e-07,2.7840724e-07,1.6356353e-06
L3078,3.890018e-06,3.5968842e-06,2.2395398e-06,6.5076165e-08,2.0337757e-07,1.06869265e-07,1.1490192e-07,2.5436748e-07,6.7055225e-08,2.9453076e-08,9.138603e-08,8.119969e-08,1.5628757e-07,2.8201612e-07,9.0978574e-08,2.7212081e-07,1.4551915e-09,6.920891e-08,3.4377445e-07,1.6007107e-08,8.731149e-10,1.3172394e-07,6.5821223e-07
L3116,9.135118e-06,2.1316446e-06,2.3248285e-06,1.1830634e-06,1.6368067e-06,1.0122603e-06,2.3179746e-07,2.394765e-06,4.1032035e-07,5.7631405e-07,9.618816e-09,3.3811375e-07,2.8478098e-08,1.2444798e-07,3.8620783e-07,1.371227e-07,6.30389e-08,6.222399e-08,4.831527e-07,2.6682392e-07,6.359187e-09,4.5377237e-07,9.166106e-07
L354,2.7039321e-05,8.62233e-06,7.791925e-06,3.4569675e-06,5.62871e-06,3.3374527e-06,6.4988853e-07,7.532284e-05,5.966431e-07,3.4389377e-06,3.5444973e-06,2.6193666e-06,4.463829e-06,9.1786205e-08,5.5415876e-07,3.3475953e-07,7.755516e-07,1.3860699e-08,7.476192e-07,5.3682743e-07,3.768946e-09,1.3878889e-06,2.117209e-06
L355,2.9291768e-06,3.600071e-07,8.1770486e-07,1.2851706e-06,8.600982e-07,2.7131682e-07,1.45082595e-08,1.9761137e-07,8.6838554e-08,1.01579644e-07,1.62363e-08,1.2583769e-08,1.2314558e-08,8.8330125e-09,3.3469405e-10,3.7121936e-08,9.094947e-10,7.348717e-10,9.4558345e-08,9.476207e-08,4.8748916e-10,9.917494e-08,4.3815817e-08
L357,9.133415e-06,2.1134692e-06,2.3384782e-06,1.4663674e-06,1.9936124e-06,1.0673612e-06,1.846347e-07,4.3118853e-06,4.263129e-07,6.360642e-07,6.752089e-08,3.401001e-07,9.851647e-09,1.0129588e-07,3.2938988e-07,1.5292608e-07,6.6480425e-08,5.3543772e-08,5.0167e-07,3.115565e-07,5.144102e-09,4.86747e-07,8.471616e-07
L413,1.600747e-06,2.1308879e-06,5.090551e-07,6.697592e-07,6.68515e-08,3.7784048e-08,1.5072146e-07,5.748516e-07,3.4971163e-07,1.6928825e-06,2.0924708e-06,1.2688834e-06,1.5491896e-06,1.5099795e-07,2.7634087e-08,6.714981e-08,4.7513458e-07,2.8230716e-08,5.871698e-09,5.363836e-08,1.02591e-09,4.1440944e-07,7.125127e-07
L414,1.0042328e-05,2.336099e-06,2.5839545e-06,1.5030382e-06,1.9465515e-06,1.0745134e-06,2.4266774e-07,2.488625e-06,4.4055923e-07,6.3829066e-07,2.0547304e-08,3.647292e-07,1.580338e-08,1.2519013e-07,3.9915903e-07,1.4760008e-07,7.500057e-08,6.315531e-08,5.211914e-07,2.9767398e-07,6.6502253e-09,4.992762e-07,9.591022e-07
L415,4.2905594e-06,8.828865e-07,1.1142401e-06,9.141222e-07,6.672344e-07,3.8899452e-07,9.0185495e-08,9.3090785e-07,1.5906699e-07,2.318775e-07,7.2905095e-09,1.3579847e-07,6.672053e-09,4.692265e-08,1.4876423e-07,5.07207e-08,2.8558134e-08,2.3639586e-08,1.8661376e-07,1.0308577e-07,2.4447218e-09,1.789449e-07,3.5860285e-07
L418,1.7295082e-05,7.656112e-06,5.7415455e-06,4.61725e-06,2.0798616e-06,9.896903e-07,4.5674096e-07,4.984089e-06,7.463386e-07,2.3597968e-06,2.198096e-06,1.6084814e-06,6.501941e-07,1.929875e-07,3.9259612e-07,2.3335451e-07,1.0814401e-06,1.7607817e-08,4.543108e-07,1.9698928e-07,7.668859e-09,1.2662786e-06,2.0948646e-06
L434,3.7140737e-05,8.391566e-06,9.435229e-06,5.6955323e-06,7.742725e-06,4.3075415e-06,8.053612e-07,8.877862e-06,1.6648846e-06,2.2840395e-06,1.1059456e-09,1.2001256e-06,3.1490345e-08,4.1886233e-07,1.4058023e-06,5.56116e-07,2.23401e-07,2.1595042e-07,1.935201e-06,1.1765515e-06,2.0867446e-08,1.8461433e-06,3.4005498e-06
L477,3.572984e-05,1.784852e-05,1.5311743e-05,1.49176485e-05,1.0515418e-05,3.8269063e-06,9.851647e-09,4.2648433e-05,1.6576087e-07,8.249532e-06,1.1610151e-05,7.0587994e-06,2.132263e-06,5.9749436e-07,1.6346894e-07,2.7913484e-07,3.7792051e-06,1.7877028e-07,1.2855671e-06,1.394772e-06,2.9394869e-09,2.0188745e-06,3.3179676e-06
L484,3.2869197e-05,2.5570043e-06,8.192699e-06,9.699346e-06,7.813767e-06,3.7359132e-06,1.4452962e-07,4.0440005e-05,8.663337e-07,7.9206075e-07,2.5289191e-06,1.2575765e-06,6.693881e-07,1.7054845e-07,4.9258233e-07,3.7584687e-07,7.3140836e-07,6.98783e-08,1.0713993e-06,9.4031566e-07,2.910383e-10,4.74829e-07,4.2535248e-07
L497,9.726718e-06,2.0764273e-06,2.5194095e-06,1.914479e-06,2.3561224e-06,1.2473974e-06,1.3692625e-07,2.5154586e-06,4.2263127e-07,5.7568104e-07,4.9309165e-08,2.4084147e-07,4.8807124e-08,6.07688e-08,2.913148e-07,1.4814577e-07,4.5460183e-08,3.6801794e-08,4.7696085e-07,3.4283585e-07,2.728484e-09,4.7256617e-07,7.5589196e-07
L498,1.4739111e-05,5.4487027e-06,6.874907e-07,6.860937e-07,2.5055488e-06,1.4929101e-06,3.8684811e-07,0.00016465154,2.5640475e-07,7.298193e-06,1.0292977e-05,5.882175e-06,8.242205e-07,1.0260846e-06,1.86963e-07,4.170579e-07,2.9098592e-06,2.924353e-07,3.7928112e-07,2.2759195e-08,1.6123522e-08,2.532266e-06,3.2543321e-06
L557,1.7042461e-05,7.6064316e-06,7.0145325e-06,3.836125e-06,2.6293346e-06,1.5770056e-06,2.9681541e-07,1.0884949e-05,2.4819383e-06,1.165783e-06,2.6571652e-06,1.0616932e-06,3.121968e-06,1.504377e-07,6.1329047e-07,2.4326437e-07,2.6800262e-07,8.745701e-08,8.3869963e-07,5.1036477e-07,8.221832e-09,9.480573e-07,1.7301936e-06
L603,1.283476e-05,3.800557e-05,7.1835675e-06,8.308707e-07,1.2674718e-07,9.9928e-08,8.138886e-08,1.4431396e-05,3.6259298e-06,3.6354613e-06,5.3372496e-06,3.0119409e-06,6.9726957e-06,2.442277e-06,3.9004954e-07,1.2161036e-07,4.300091e-08,8.157804e-08,4.7311187e-07,2.3891334e-07,6.4319465e-09,3.444875e-07,1.0153308e-06
L607,4.9277383e-05,0.00023179228,3.31559e-05,8.494593e-06,3.1031668e-06,1.6769627e-06,1.709559e-07,6.7223446e-05,1.6980048e-05,1.9230356e-05,2.6296417e-05,1.5558908e-05,3.429345e-05,1.3520534e-05,1.1107186e-06,3.2165553e-07,8.3539635e-07,3.3155084e-07,1.2491946e-06,5.554175e-07,1.8859282e-08,2.720626e-07,2.6405905e-06
L609,3.6314013e-05,0.00014497916,2.3611065e-05,4.6320492e-06,1.1596712e-06,5.614711e-07,3.0559022e-08,4.6844187e-05,1.1690485e-05,1.255417e-05,1.7580576e-05,1.0170799e-05,2.2833643e-05,8.65187e-06,9.718351e-07,2.93192e-07,3.9901352e-07,2.5186455e-07,1.1177617e-06,5.2305404e-07,1.6239937e-08,5.494803e-07,2.4162582e-06
L611,8.66098e-06,5.4921693e-06,3.2607932e-06,1.5451369e-06,1.4535472e-06,9.1516995e-07,2.646848e-07,5.6130375e-06,1.2779201e-06,3.088644e-07,1.2319651e-06,3.8444705e-07,1.6708073e-06,6.3068e-08,4.4424087e-07,1.4770194e-07,2.2711174e-07,6.808841e-08,5.406764e-07,2.831075e-07,7.188646e-09,6.33765e-07,1.2356613e-06
L612,4.649708e-06,2.94856e-06,1.7505881e-06,8.2952465e-07,7.803392e-07,4.9133087e-07,1.4209218e-07,3.013447e-06,6.8607915e-07,1.6582635e-07,6.614064e-07,2.0638981e-07,8.9700916e-07,3.3862307e-08,2.385059e-07,7.9293386e-08,1.219305e-07,3.655441e-08,2.9025978e-07,1.519802e-07,3.8417056e-09,3.4026016e-07,6.6338544e-07
L615,7.207866e-05,0.00038534112,5.167944e-05,1.5537313e-05,6.5306667e-06,3.666326e-06,5.5338023e-07,0.00010531017,2.6676687e-05,3.1302683e-05,4.1954918e-05,2.513011e-05,5.4520322e-05,2.2074091e-05,1.3893005e-06,3.8463622e-07,1.5888363e-06,4.771864e-07,1.5235273e-06,6.369082e-07,2.3748726e-08,1.6705599e-07,3.1288946e-06
L616,7.0266426e-05,0.00038653705,5.3495634e-05,1.582742e-05,6.802962e-06,3.837573e-06,6.0279854e-07,0.000104268955,2.6439957e-05,3.124762e-05,4.1728374e-05,2.5060493e-05,5.4213335e-05,2.2064196e-05,1.3064127e-06,3.570458e-07,1.6313279e-06,4.6449713e-07,1.4224788e-06,5.8393925e-07,2.2351742e-08,2.8556678e-07,2.8982759e-06
L622,1.6681268e-05,1.4200952e-05,6.3036277e-06,3.22517e-06,2.9553776e-06,1.8574356e-06,5.316688e-07,1.0475022e-05,2.3490866e-06,3.6062556e-07,2.1021697e-06,5.4499833e-07,2.8327631e-06,6.91507e-08,8.75094e-07,2.916786e-07,4.658359e-07,1.3195677e-07,1.0660442e-06,5.592301e-07,1.4086254e-08,1.2657547e-06,2.4386973e-06
L643,1.9287705e-05,1.11666595e-05,6.248418e-06,2.6731577e-06,3.7889258e-06,2.0972366e-06,4.4690387e-07,8.638992e-06,1.991677e-06,1.796434e-07,1.4242396e-06,2.3203029e-07,1.9613217e-06,2.8854993e-07,7.6700235e-07,2.9646617e-07,4.2261672e-07,1.1071097e-07,1.070177e-06,6.330811e-07,1.15833245e-08,1.2667297e-06,2.18903e-06
L726,8.091738e-07,6.021946e-08,2.274719e-07,4.1677777e-07,8.3848136e-08,5.2023097e-09,8.0035534e-11,1.0440999e-09,2.2555469e-10,9.458745e-11,1.09139364e-10,3.274181e-11,1.7462298e-10,4.0017767e-11,1.1641532e-10,4.3655746e-11,8.367351e-11,1.8189894e-11,1.4551915e-10,8.0035534e-11,3.637979e-12,1.9281288e-10,3.3833203e-10
L762,0.0005433672,8.762174e-06,7.688999e-06,2.687506e-06,4.31214e-06,5.586713e-06,5.5489363e-07,3.40197e-05,1.6701524e-06,1.5305122e-06,2.6269117e-07,8.046627e-07,7.2305556e-07,2.7776696e-07,1.1308002e-06,3.4103869e-07,3.9389124e-07,3.240141e-05,1.3685203e-06,7.4127456e-07,1.8801074e-08,1.160719e-06,3.1820964e-06
L763,7.929499e-06,2.459361e-06,1.8874125e-06,1.5463884e-06,4.4515764e-07,5.6841673e-06,1.8681749e-07,2.373611e-05,7.85818e-07,5.092588e-07,1.3427052e-07,2.3527537e-07,4.838075e-07,3.2328535e-07,3.9122824e-07,8.0661266e-08,1.6373815e-07,3.258791e-05,4.426838e-07,2.3427128e-07,6.679329e-09,1.4423858e-07,1.3391982e-06
L773,2.5801128e-06,1.1618482e-05,9.794836e-06,0.00015640812,5.121954e-06,9.0993126e-07,1.5578698e-06,4.964444e-06,2.2198656e-06,6.642367e-07,4.1545718e-07,1.3539102e-07,1.948065e-06,1.5051628e-06,5.8006844e-07,7.209019e-08,3.9092265e-07,2.874207e-06,6.5978384e-07,3.1740637e-07,1.268927e-08,6.8734516e-07,3.2119278e-06
L774,1.3605779e-05,2.8030045e-06,2.8134382e-06,2.5579939e-06,2.2871682e-06,1.3195386e-06,3.5839912e-07,3.7366262e-06,5.953334e-07,6.9243833e-07,8.154893e-08,3.8582948e-07,1.57248e-07,3.3236574e-08,4.977628e-07,1.8552237e-07,1.5509431e-07,4.8079528e-08,6.246555e-07,3.4335244e-07,8.178176e-09,6.8543886e-07,1.2393284e-06
L781,0.00027943373,3.2919343e-06,3.0549127e-06,4.358066e-06,4.7164503e-06,3.017718e-06,9.0972753e-07,1.6011181e-05,4.1763997e-07,8.81264e-07,4.033791e-08,5.400507e-07,1.5896512e-07,3.859168e-07,6.1572064e-07,2.7386704e-07,1.496519e-07,3.277621e-05,8.175848e-07,4.5576598e-07,9.662472e-09,1.2392411e-06,1.168868e-06
L803,7.7082805e-06,1.7883576e-06,1.5442056e-06,8.47067e-07,1.3461395e-06,8.222705e-07,2.2877066e-07,2.3705215e-06,3.7398422e-07,4.3472392e-07,5.416223e-08,2.4263863e-07,9.879295e-08,2.1638698e-08,3.146124e-07,1.11205736e-07,9.76288e-08,3.7558493e-08,3.940222e-07,2.1597953e-07,5.122274e-09,4.3484033e-07,7.808994e-07
L84,4.651636e-06,2.6174603e-06,2.4433684e-06,1.202061e-06,5.0701055e-07,3.0077354e-07,9.689393e-08,3.4705663e-06,8.632778e-07,5.878828e-07,1.0692893e-06,5.3398253e-07,1.3259196e-06,5.9728336e-08,1.9550498e-07,6.452319e-08,8.5252395e-08,3.0900992e-08,2.352972e-07,1.2126839e-07,3.1141099e-09,2.6346243e-07,5.5087e-07
L87,1.5763013e-05,8.616611e-06,8.086601e-06,3.9686856e-06,1.6714621e-06,9.916257e-07,3.1905074e-07,1.14351715e-05,2.844754e-06,1.9379513e-06,3.5240373e-06,,,,,,,,,,,,
L895,5.931675e-05,4.035444e-05,1.6735576e-05,1.1229771e-05,1.3664598e-05,6.0454477e-06,1.3017561e-06,4.5660418e-06,3.9894367e-06,2.1855813e-06,1.574168e-06,6.068731e-07,2.5278423e-06,5.051261e-07,1.8588034e-06,7.931376e-07,1.8727733e-06,2.7241185e-07,2.8600916e-06,1.7805723e-06,2.8521754e-08,4.3299515e-06,5.347538e-06
L905,2.906745e-09,7.3123374e-10,6.330083e-10,1.5279511e-10,6.330083e-10,3.274181e-10,1.1641532e-10,1.0040822e-09,1.5279511e-10,1.70985e-10,2.1827873e-11,9.822543e-11,4.3655746e-11,4.0017767e-11,1.2732926e-10,4.3655746e-11,5.4569682e-11,1.0913936e-11,1.5643309e-10,9.094947e-11,7.275958e-12,1.9281288e-10,3.1650416e-10
