,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L1224,6.5995846e-07,4.1909516e-09,5.029142e-08,4.2573083e-07,1.0430813e-07,6.1874744e-07,1.0560034e-06,9.879004e-07,1.09896064e-07,3.061723e-08,5.319016e-07,7.3807314e-07,2.332963e-07,2.1397136e-07,4.741596e-07,6.1583705e-08,2.5273766e-07,4.0233135e-07,1.0799849e-06,5.871989e-07,1.4808029e-07,4.4098124e-07,5.674083e-07,1.3030367e-06,1.3795216e-07,4.6135392e-07,1.2759119e-07,1.8812716e-07,6.6903885e-07,3.2712705e-07,9.0454705e-07,6.5297354e-07,2.1764892e-05,1.2467499e-05,2.0108419e-06,1.5717233e-06,3.434252e-07,7.241033e-08,1.6418053e-06,9.848736e-08,1.6845297e-07,1.2705568e-06,1.1459924e-06,3.3935066e-07,7.165363e-07,1.041335e-06,4.6833884e-07
L1225,2.819579e-07,5.704351e-07,2.3911707e-07,5.530892e-07,2.0267908e-07,5.9674494e-07,3.1932723e-07,1.8905848e-07,8.305069e-07,7.848721e-07,1.078588e-06,9.990763e-07,6.8114605e-07,1.4281832e-06,1.2493692e-06,6.3329935e-07,5.1397365e-07,2.2153836e-07,1.5641563e-06,7.2678085e-07,6.3795596e-08,9.1444235e-07,1.9131694e-06,2.0549633e-06,1.922017e-07,8.0955215e-07,1.1395896e-06,7.6100696e-07,1.2356322e-06,5.19678e-07,1.2271339e-06,3.9092265e-07,2.350111e-05,1.32407295e-05,2.9233051e-06,2.5753397e-06,1.4409889e-06,1.5737023e-06,3.752415e-06,4.02797e-08,3.9010774e-07,3.3905962e-06,3.810157e-06,8.431962e-07,2.576271e-07,1.8158462e-06,9.755604e-08
L1229,1.2023374e-06,6.5460335e-07,3.8731378e-07,1.6214326e-06,2.3283064e-09,2.1120068e-06,2.7974602e-06,2.4873298e-06,1.2170058e-06,9.71253e-07,1.8626451e-08,5.438924e-07,2.6333146e-07,1.1625234e-06,3.722962e-07,8.8766683e-07,2.4214387e-08,1.1904631e-06,6.579794e-07,5.0931703e-07,2.7462374e-07,2.0816224e-06,9.237556e-07,6.040791e-07,9.313226e-08,1.2048986e-07,1.6221311e-06,4.4633634e-07,2.9966468e-06,1.3660174e-06,6.615883e-07,1.0419171e-06,2.2637425e-05,1.323293e-05,1.2427336e-06,6.3783955e-07,8.880161e-07,1.6642734e-06,5.842885e-07,1.6507693e-07,7.2293915e-08,9.98145e-07,1.7755665e-06,1.7671846e-06,1.352746e-06,2.940651e-07,1.193257e-06
L1230,7.8603625e-07,1.7951243e-07,1.839362e-08,2.833549e-07,1.7578714e-07,4.7474168e-07,1.0244548e-06,9.913929e-07,1.3993122e-07,2.0768493e-07,8.959323e-07,1.0915101e-06,4.5727938e-07,6.663613e-07,8.891802e-07,1.3061799e-07,4.2817555e-07,3.5879202e-07,1.6302802e-06,8.486677e-07,1.7764978e-07,1.8626451e-07,1.1927914e-06,2.0151492e-06,2.0628795e-07,7.399358e-07,2.1676533e-07,4.3446198e-07,3.2875687e-07,1.8626451e-07,1.3406388e-06,8.1653707e-07,3.0299649e-05,1.7290004e-05,3.0337833e-06,2.4645124e-06,8.1094913e-07,5.615875e-07,2.9015355e-06,1.1967495e-07,2.994202e-07,2.3946632e-06,2.387911e-06,1.0384247e-07,8.4284693e-07,1.6666017e-06,4.7008507e-07
L1235,8.731149e-11,1.09139364e-10,4.3655746e-11,1.891749e-10,2.1827873e-11,2.5465852e-10,2.910383e-10,2.4738256e-10,2.0372681e-10,1.5279511e-10,1.0186341e-10,3.6379788e-11,8.731149e-11,2.401066e-10,1.4551915e-10,1.4551915e-10,4.3655746e-11,1.382432e-10,8.0035534e-11,2.1827873e-11,2.1827873e-11,2.764864e-10,2.5465852e-10,1.2369128e-10,2.1827873e-11,6.548362e-11,2.401066e-10,1.09139364e-10,3.783498e-10,1.6734703e-10,4.3655746e-11,6.548362e-11,2.910383e-11,4.3655746e-11,1.3096724e-10,1.6734703e-10,2.1100277e-10,2.910383e-10,3.783498e-10,2.1827873e-11,4.3655746e-11,4.0017767e-10,5.0931703e-10,2.401066e-10,1.09139364e-10,1.3096724e-10,1.1641532e-10
L1248,6.810296e-08,2.0107836e-07,1.314911e-07,3.2960088e-07,2.8012437e-08,4.4591434e-07,4.965841e-07,4.3635373e-07,3.4540426e-07,3.2834942e-07,2.5359623e-07,1.1542579e-07,1.8818537e-07,5.060574e-07,2.1484448e-07,1.7898856e-07,3.472087e-08,2.111774e-07,1.3007957e-07,5.4060365e-08,1.1596421e-07,5.1282404e-07,8.7954686e-07,,,,,,,,,,,,,,,,,,,,,,,,
L189,5.0335075e-08,1.5264959e-08,8.5216016e-08,5.896436e-08,1.2252713e-08,1.24418875e-08,2.066372e-09,3.0064257e-08,4.6362402e-08,4.4397893e-08,2.5320332e-09,6.362097e-08,1.0243093e-07,2.6047928e-08,5.759648e-08,1.6472768e-08,3.1664968e-08,4.5984052e-08,2.4941983e-08,4.742469e-08,7.0082024e-08,1.2032979e-07,3.8402504e-08,1.4551915e-08,2.804154e-08,5.6665158e-08,7.307972e-08,4.8123184e-08,1.6760896e-07,2.1143933e-07,3.965397e-08,4.8676156e-08,1.7811544e-08,2.697925e-08,2.9132934e-07,2.3996108e-07,1.1059456e-09,5.985203e-08,9.5926225e-08,3.866444e-08,2.9293005e-08,3.6743586e-08,7.2977855e-08,9.271025e-08,2.2117456e-07,2.0387233e-08,1.8451829e-08
L1925,3.0008028e-05,2.394896e-06,1.8812483e-05,7.3998235e-06,3.8916944e-05,5.564303e-06,6.284099e-06,2.7479022e-05,3.535184e-06,5.7090074e-06,8.858042e-06,1.6993145e-06,1.1604978e-05,4.8838556e-06,5.2028103e-05,3.677106e-05,3.9392733e-05,2.2386783e-05,4.580256e-05,6.1953906e-06,2.960232e-05,4.727859e-06,3.304449e-05,4.4902554e-06,4.4087647e-06,3.0642026e-05,2.088095e-05,6.1834e-06,8.251984e-05,4.849257e-05,2.3748726e-08,2.1995744e-05,4.957884e-05,2.366025e-05,1.52162975e-05,2.9047718e-05,3.217731e-05,8.763163e-06,5.8803475e-05,4.3235486e-05,3.1716074e-05,2.1048007e-05,3.377744e-05,3.5882695e-05,5.040434e-06,2.828543e-06,1.3925135e-05
L1965,8.733827e-06,8.1805047e-07,6.9763046e-06,6.8442896e-06,1.9916624e-05,2.7283095e-06,2.5217305e-06,1.29354885e-05,1.8962892e-06,5.2222167e-06,7.539551e-06,1.4484976e-06,9.968207e-06,4.5333873e-06,2.306787e-05,1.7850805e-05,2.1363754e-05,9.5500145e-06,2.0685082e-05,6.0821185e-06,1.395226e-05,6.6887587e-06,1.96459e-05,4.17087e-06,7.2916155e-06,1.3534678e-05,1.4984049e-05,4.734611e-07,4.4402695e-05,2.515738e-05,3.897585e-06,1.1981814e-05,2.5312766e-05,1.4056859e-05,1.3461977e-05,2.1189626e-05,1.940073e-05,5.731941e-06,3.0220603e-05,1.8573483e-05,1.29797845e-05,1.5454134e-05,2.0997017e-05,1.685723e-05,3.6356505e-06,3.863708e-06,6.3727493e-06
L2200,5.23547e-07,1.05466825e-07,3.3543984e-08,1.3774661e-07,1.8997525e-08,8.461757e-08,3.4169534e-07,2.5178633e-07,3.1384843e-08,5.303664e-07,3.0626688e-07,4.0580017e-07,3.0670708e-07,2.669858e-07,2.3342909e-07,3.278965e-07,5.809852e-09,3.096302e-07,1.9915387e-07,5.8042133e-08,1.0025542e-07,2.1051346e-07,2.2219683e-07,2.2577296e-08,4.134199e-08,4.696958e-07,1.4730176e-08,2.0833431e-07,6.09185e-07,1.3493627e-07,3.8408143e-07,3.2230855e-07,6.771079e-07,1.501121e-07,1.9995059e-07,8.1250437e-07,5.791171e-07,2.3453322e-07,2.7477472e-07,1.7274942e-07,1.1975499e-07,8.5948705e-07,9.3177186e-07,5.1053576e-08,1.9837353e-07,3.78217e-07,3.1919626e-08
L241,1.155131e-07,3.835885e-08,2.142624e-07,1.4831312e-07,3.0820956e-08,3.1286618e-08,5.122274e-09,7.543713e-08,1.1647353e-07,1.11729605e-07,6.2573235e-09,1.5998376e-07,2.57598e-07,6.5541826e-08,1.4487887e-07,4.132744e-08,7.948256e-08,1.1557131e-07,6.268965e-08,1.1920929e-07,1.762528e-07,3.0256342e-07,9.65083e-08,3.5739504e-08,6.952905e-08,1.4025136e-07,1.808512e-07,1.18569005e-07,4.216563e-07,5.320471e-07,9.9651515e-08,1.2226519e-07,4.476169e-08,6.775372e-08,7.331837e-07,6.040791e-07,2.6775524e-09,1.5049591e-07,2.4121255e-07,9.72359e-08,7.363269e-08,9.2433766e-08,1.8352875e-07,2.3361645e-07,5.5661076e-07,5.128095e-08,4.6333298e-08
L279,4.3946784e-07,1.0349322e-07,5.720649e-07,3.9464794e-07,8.160714e-08,8.3236955e-08,1.641456e-08,2.0500738e-07,3.1176023e-07,2.9488e-07,1.9790605e-08,4.2526517e-07,6.845221e-07,1.7369166e-07,3.837049e-07,1.1106022e-07,2.1338928e-07,3.076857e-07,1.6670674e-07,3.1932723e-07,4.7008507e-07,8.0489554e-07,2.5623012e-07,1.0000076e-07,1.9406434e-07,3.9092265e-07,5.067559e-07,3.3632386e-07,1.1206139e-06,1.4128163e-06,2.6612543e-07,3.266614e-07,1.1874363e-07,1.8300489e-07,1.9462314e-06,1.6003614e-06,8.8475645e-09,4.018657e-07,6.4226333e-07,2.5890768e-07,1.967419e-07,2.470333e-07,4.895264e-07,6.145565e-07,1.4750985e-06,1.3690442e-07,1.2421515e-07
L283,7.376366e-08,1.7302227e-08,9.612995e-08,6.6444045e-08,1.3780664e-08,1.4013494e-08,2.5029294e-09,3.4095137e-08,5.227048e-08,4.9825758e-08,3.0267984e-09,7.156632e-08,1.1519296e-07,2.9234798e-08,6.474147e-08,1.8568244e-08,3.5695848e-08,5.173206e-08,2.8026989e-08,5.3507392e-08,7.8987796e-08,1.3546378e-07,4.3204636e-08,1.7142156e-08,3.2581738e-08,6.577466e-08,8.524512e-08,5.6723366e-08,1.8982973e-07,2.3902976e-07,4.467438e-08,5.486072e-08,2.0037987e-08,3.054447e-08,3.2887328e-07,2.7092756e-07,1.3242243e-09,6.744813e-08,1.0798976e-07,4.3553882e-08,3.297464e-08,4.14002e-08,8.226198e-08,1.05108484e-07,2.4984183e-07,2.3035682e-08,2.0780135e-08
L289,8.182542e-08,1.9208528e-08,1.06563675e-07,7.3589035e-08,1.5235855e-08,1.5526894e-08,2.910383e-09,3.799505e-08,5.8018486e-08,5.509355e-08,3.5215635e-09,7.932249e-08,1.276785e-07,3.2407115e-08,7.165363e-08,2.0678272e-08,3.972673e-08,5.736365e-08,3.1053787e-08,5.941547e-08,8.758798e-08,1.50103e-07,4.7832145e-08,1.8830178e-08,3.6146957e-08,7.2905095e-08,9.451469e-08,6.274786e-08,2.0848529e-07,2.629531e-07,4.9592927e-08,6.087066e-08,2.219167e-08,3.396417e-08,3.6247366e-07,2.9811054e-07,1.5716068e-09,7.482595e-08,1.1973316e-07,4.8297807e-08,3.661262e-08,4.5984052e-08,9.1211405e-08,1.14378054e-07,2.7481292e-07,2.5553163e-08,2.309389e-08
L3087,6.0706225e-07,4.943431e-07,3.259629e-09,6.1112223e-07,4.3524778e-07,7.5105345e-07,1.1352822e-06,9.099458e-07,7.5534626e-07,4.3529144e-07,4.6609784e-07,3.1599484e-07,2.5676854e-07,7.7908044e-07,7.0121314e-07,7.231429e-07,1.922599e-07,7.677154e-07,4.6037894e-07,1.6474223e-07,4.147296e-08,5.3110125e-07,1.103399e-06,4.987087e-07,1.5208207e-07,6.02362e-07,9.0578396e-07,1.4677062e-07,1.8015999e-06,8.85193e-07,2.4972542e-07,2.568413e-08,1.5697588e-06,3.305322e-07,3.9521547e-07,6.6398934e-07,8.30536e-07,1.0846124e-06,1.7124548e-06,8.6132786e-08,2.742745e-07,1.3144163e-06,1.7457933e-06,7.9844904e-07,3.058667e-07,5.926122e-07,5.0934614e-07
L3090,1.1553348e-06,1.3054523e-06,5.1010284e-07,2.1533633e-06,4.6135392e-07,2.6961789e-06,3.191206e-06,2.7425122e-06,2.1629385e-06,1.7016428e-06,1.2046366e-06,6.186601e-07,8.120842e-07,2.6052294e-06,1.6798149e-06,1.6946287e-06,5.05941e-07,1.6934937e-06,1.0423246e-06,2.7913484e-07,1.4420948e-07,2.6033376e-06,3.0109368e-06,1.6289414e-06,1.6140984e-07,9.997748e-07,2.7666974e-06,1.0406948e-06,4.5303314e-06,2.1385204e-06,6.4610504e-07,5.0853123e-07,1.9863073e-06,3.070454e-07,1.6199483e-06,2.0115403e-06,2.4783367e-06,3.3304095e-06,4.562404e-06,8.879579e-08,5.3973054e-07,4.4334447e-06,5.681999e-06,2.6744092e-06,1.0950025e-06,1.5937258e-06,1.4434918e-06
L38,3.3099786e-07,6.490154e-09,4.2753527e-08,2.6164344e-08,4.48199e-09,6.897608e-09,1.0069925e-08,2.7561327e-08,2.750312e-08,1.6734703e-08,1.8946594e-08,2.712477e-08,4.420872e-08,9.546056e-09,2.4359906e-08,9.516953e-09,1.7724233e-08,2.3195753e-08,1.4930265e-08,2.5436748e-08,2.9889634e-08,5.4191332e-08,1.1990778e-08,1.18947355e-07,4.4936314e-08,7.050112e-07,5.3763506e-07,4.1673775e-07,1.4912803e-07,1.0186341e-09,2.3486791e-08,2.7648639e-08,9.19681e-09,1.5483238e-08,3.7107384e-08,6.6065695e-09,4.8603397e-09,2.9744115e-08,4.8661605e-08,1.7666025e-08,1.46683306e-08,2.1536835e-08,3.9552106e-08,6.4610504e-08,1.9208528e-09,1.0302756e-08,1.1554221e-08
L459,5.539041e-07,9.65083e-08,5.8917794e-07,4.1769817e-07,8.079223e-08,9.604264e-08,5.005859e-09,1.8044375e-07,3.1013042e-07,3.2468233e-07,3.3760443e-09,4.4738408e-07,7.1921386e-07,1.823064e-07,4.1548628e-07,1.06403604e-07,2.0849984e-07,3.2095704e-07,1.7334241e-07,3.1187665e-07,4.7765207e-07,8.43429e-07,2.8277282e-07,3.6915299e-07,4.7730282e-08,1.1168886e-06,4.7741923e-07,3.2247044e-07,3.2860553e-06,3.580586e-06,2.6088674e-07,3.252644e-07,1.2665987e-07,1.7066486e-07,4.135538e-06,3.7996797e-06,4.4237822e-09,4.0105078e-07,6.563496e-07,3.465684e-07,1.952285e-07,2.3667235e-07,4.9592927e-07,2.7857022e-06,3.6667334e-06,1.3946556e-07,4.884787e-07
L460,2.8923387e-07,3.6670826e-08,2.188026e-07,1.5518162e-07,2.96277e-08,3.6437996e-08,2.2700988e-09,6.61239e-08,1.147273e-07,1.2048986e-07,7.566996e-10,1.6362173e-07,2.6426278e-07,6.711343e-08,1.5279511e-07,3.7485734e-08,7.438939e-08,1.1641532e-07,6.292248e-08,1.1327211e-07,1.7561251e-07,3.1024683e-07,1.063454e-07,1.6670674e-07,1.8335413e-08,5.114125e-07,2.2043241e-07,1.6018748e-07,2.1234155e-06,2.2322056e-06,9.2200935e-08,1.169974e-07,4.575122e-08,6.338814e-08,2.436689e-06,2.3143366e-06,1.8044375e-09,1.4761463e-07,2.392917e-07,1.3475074e-07,7.136259e-08,8.480856e-08,1.8172432e-07,1.9390718e-06,2.2618915e-06,5.2154064e-08,2.2095628e-07
L485,3.3539254e-07,1.2118835e-07,7.157214e-07,5.039619e-07,1.0011718e-07,1.1292286e-07,2.3283064e-10,2.2817403e-07,3.806781e-07,3.8929284e-07,7.683411e-09,5.3993426e-07,8.6950604e-07,2.2095628e-07,4.9872324e-07,1.3096724e-07,2.5518239e-07,3.874302e-07,2.0931475e-07,3.8358849e-07,5.828915e-07,1.0203803e-06,3.3830293e-07,2.9313378e-07,1.1874363e-08,8.7707303e-07,4.741596e-07,3.054738e-07,3.81039e-06,4.1696476e-06,3.1967647e-07,3.974419e-07,1.5203841e-07,2.1292362e-07,4.8384536e-06,4.4247136e-06,1.2805685e-09,4.913891e-07,7.979106e-07,3.8545113e-07,2.3911707e-07,2.9266812e-07,6.0442835e-07,3.1964155e-06,4.26732e-06,1.6984995e-07,4.3807086e-07
L53,4.109461e-08,2.3806933e-08,1.4097895e-07,9.906944e-08,2.0721927e-08,2.013985e-08,1.8044375e-09,4.3248292e-08,7.2817784e-08,7.473864e-08,8.1490725e-10,1.0768417e-07,1.7107232e-07,4.2433385e-08,9.7148586e-08,2.910383e-08,5.54719e-08,7.7532604e-08,3.882451e-08,7.8231096e-08,1.1973316e-07,2.0349398e-07,6.61239e-08,1.8044375e-08,1.9208528e-09,3.8882717e-08,5.7159923e-08,2.7299393e-08,4.990143e-07,5.689217e-07,6.641494e-08,8.154893e-08,3.1257514e-08,4.2957254e-08,7.057679e-07,6.2189065e-07,1.1641532e-10,9.936048e-08,1.6001286e-07,6.53672e-08,4.8894435e-08,6.0361344e-08,1.2107193e-07,3.752648e-07,5.8929436e-07,3.3935066e-08,3.754394e-08
L602,2.1699816e-07,3.0180672e-08,1.7081038e-07,1.1685188e-07,2.3865141e-08,2.5349436e-08,7.82893e-09,6.53672e-08,9.4791176e-08,8.699135e-08,1.2427336e-08,1.2549572e-07,2.0247535e-07,5.0844392e-08,1.1376687e-07,3.335299e-08,6.402843e-08,9.223004e-08,5.104812e-08,9.557698e-08,1.3818499e-07,2.3876783e-07,7.409835e-08,6.504706e-08,5.5268174e-08,3.594032e-07,3.266614e-07,2.3725443e-07,3.592868e-07,3.7418795e-07,8.0646714e-08,9.854557e-08,3.5739504e-08,5.47152e-08,5.324837e-07,4.27739e-07,3.9872248e-09,1.1955854e-07,1.9211438e-07,7.6630386e-08,5.84987e-08,7.468043e-08,1.4726538e-07,1.3411045e-07,3.921159e-07,4.0832674e-08,2.834713e-08
L732,2.119632e-07,9.516953e-09,1.0742224e-07,7.924973e-08,1.45082595e-08,2.0125299e-08,5.864422e-09,2.5247573e-08,5.4278644e-08,6.6225766e-08,8.702045e-09,8.249481e-08,1.3479439e-07,3.4677214e-08,8.150528e-08,1.5978003e-08,3.252353e-08,5.903712e-08,3.2960088e-08,5.091715e-08,8.313509e-08,1.5657861e-07,5.630136e-08,3.1580566e-07,3.598543e-07,8.797797e-07,2.3515895e-07,1.9304571e-07,1.4064717e-06,4.7784124e-07,4.2884494e-08,5.5035343e-08,2.3414032e-08,2.598972e-08,5.776528e-07,5.231559e-07,4.5110937e-09,6.8946974e-08,1.16677256e-07,4.52128e-08,3.2407115e-08,3.8111466e-08,8.7646185e-08,3.416062e-07,4.99218e-07,2.4447218e-08,7.6324795e-08
L733,1.864828e-08,8.6729415e-09,4.8341462e-08,3.357127e-08,6.9849193e-09,7.1013346e-09,9.240466e-10,1.672015e-08,2.6229827e-08,2.5473128e-08,1.0986696e-09,3.6154233e-08,5.8273145e-08,1.48575054e-08,3.2872777e-08,9.211362e-09,1.7760613e-08,2.6055204e-08,1.409353e-08,2.6695488e-08,3.9755832e-08,6.841583e-08,2.2017048e-08,4.0672603e-09,8.6729415e-09,4.256435e-09,2.1733285e-08,1.17506715e-08,8.8584784e-08,1.2235978e-07,2.222805e-08,2.7364877e-08,1.0091753e-08,1.5141268e-08,1.6764534e-07,1.3877434e-07,4.656613e-10,3.38041e-08,5.4227712e-08,2.18497e-08,1.65237e-08,2.0634616e-08,4.1232852e-08,5.5355486e-08,1.2803503e-07,1.1554221e-08,1.0957592e-08
L80,1.4004763e-07,4.9069058e-08,2.7380884e-07,1.8946594e-07,3.9406586e-08,3.9872248e-08,6.693881e-09,9.662472e-08,1.4901161e-07,1.4266698e-07,8.20728e-09,2.043671e-07,3.2910611e-07,8.3702616e-08,1.8504215e-07,5.2910764e-08,1.01630576e-07,1.4767284e-07,8.009374e-08,1.5238766e-07,2.2520544e-07,3.8649887e-07,1.2322562e-07,4.5343768e-08,8.8941306e-08,1.7951243e-07,2.3090979e-07,1.5139813e-07,5.3842086e-07,6.79458e-07,1.2735836e-07,1.5628757e-07,5.7101715e-08,8.6729415e-08,9.361538e-07,7.711351e-07,3.5506673e-09,1.9231811e-07,3.0809315e-07,1.2421515e-07,9.406358e-08,1.18103344e-07,2.3446046e-07,2.9796502e-07,7.105991e-07,6.5541826e-08,5.92554e-08
L90,1.0686199e-06,2.408342e-08,5.8294972e-08,7.4578566e-08,8.076313e-09,3.6729034e-08,4.8501533e-08,2.1216692e-08,4.634785e-08,8.2553015e-08,1.1845259e-08,1.3480894e-07,1.9912841e-07,4.643516e-08,1.1087104e-07,2.0299922e-08,6.407208e-08,1.0049553e-07,6.53672e-08,6.749178e-08,7.468043e-08,1.6558624e-07,3.8460712e-08,3.222085e-07,3.6646088e-07,1.3880053e-06,8.335046e-07,8.08257e-07,9.586802e-08,6.009941e-09,7.7154255e-08,6.4697815e-08,1.672015e-08,1.0229996e-08,1.3141835e-07,7.424387e-08,2.4330802e-08,5.311449e-08,1.4506804e-07,4.1443855e-08,4.998583e-08,5.8833393e-08,9.794894e-08,1.3400859e-07,3.768946e-08,1.2179953e-08,4.3291948e-08
L93,7.303315e-07,1.3387762e-09,6.126356e-08,4.6478817e-08,5.151378e-09,1.3213139e-08,1.5133992e-09,1.5337719e-08,3.2479875e-08,4.0075975e-08,4.6857167e-09,5.0727976e-08,8.2392944e-08,2.2177119e-08,4.8894435e-08,8.556526e-09,1.8859282e-08,3.5361154e-08,2.0314474e-08,3.0297088e-08,4.8428774e-08,9.1444235e-08,3.335299e-08,4.6397327e-07,4.5142951e-07,5.510461e-06,1.4402613e-06,1.1559459e-06,8.3603663e-07,7.9825986e-07,3.6437996e-08,4.2229658e-08,1.5133992e-08,2.0954758e-08,8.700299e-07,8.304196e-07,5.7625584e-09,4.9883965e-08,8.780626e-08,2.9831426e-08,2.697925e-08,2.9889634e-08,6.2806066e-08,6.938353e-07,8.092029e-07,1.4755642e-08,1.071021e-08
L930,1.6731792e-07,1.02911144e-07,5.0271046e-07,3.7721475e-07,5.2416e-08,1.2590317e-07,4.7351932e-08,8.4372004e-08,2.3137545e-07,3.009045e-07,6.68806e-08,3.7826248e-07,6.0070306e-07,1.5512342e-07,3.5593985e-07,5.6490535e-08,1.5037949e-07,2.6347698e-07,1.2063538e-07,2.0716107e-07,3.7517748e-07,7.021008e-07,3.0512456e-07,1.253793e-07,1.1996599e-07,8.448842e-08,1.2436067e-07,1.7407001e-07,1.8657884e-06,2.1534215e-06,1.3233512e-07,2.2072345e-07,1.12340786e-07,1.2849341e-07,2.580724e-06,2.356188e-06,3.442983e-08,2.8929207e-07,4.839385e-07,1.4170655e-07,1.5445403e-07,1.314038e-07,3.8262806e-07,1.5642727e-06,2.253364e-06,1.1367956e-07,1.1632801e-07
L1392,4.2724423e-08,7.485505e-08,3.655441e-08,2.3050234e-08,2.2817403e-08,8.7195076e-08,1.6996637e-08,0.00014171586,0.00049061864,0.00020158372,0.00010944158,6.905e-05,6.495975e-07,5.9138983e-08,9.429641e-08,1.0244548e-07,5.9138983e-08,1.0197982e-07,4.6635978e-07,1.6996637e-08,1.9161962e-07,3.5995618e-07,7.241033e-08,0.00014262437,1.755543e-07,7.171184e-08,5.6345016e-08,4.7730282e-08,4.558824e-07,1.5832484e-08,3.8417056e-08,7.8231096e-08,1.3317913e-07,8.754432e-08,6.635673e-08,4.9825758e-08,2.7939677e-09,6.2864274e-09,1.9976869e-07,9.5693395e-08,8.800998e-08,9.476207e-08,1.618173e-07,2.2095628e-07,3.4924597e-08,6.3097104e-08,1.0477379e-08
L1396,8.381903e-09,1.46683306e-08,7.072231e-09,4.452886e-09,4.452886e-09,1.7083948e-08,3.3760443e-09,1.7366838e-06,2.9786897e-06,8.7119406e-07,2.2468157e-08,5.47152e-09,1.5296973e-07,1.2631062e-08,2.4127075e-08,2.561137e-08,1.5337719e-08,2.325396e-08,1.12631824e-07,4.773028e-09,4.5256456e-08,8.751522e-08,1.6327249e-08,7.041672e-07,3.6350684e-08,1.4755642e-08,1.2369128e-08,9.313226e-09,9.255018e-08,3.2887328e-09,5.9080776e-09,1.6239937e-08,2.7590431e-08,1.8189894e-08,1.3853423e-08,1.0302756e-08,6.1118044e-10,2.2992026e-09,4.141475e-08,1.9819709e-08,1.7258571e-08,2.0576408e-08,3.3614924e-08,4.6828063e-08,8.1490725e-09,1.31258275e-08,2.066372e-09
L1428,2.8448994e-09,4.838512e-09,2.3501343e-09,1.4915713e-09,1.549779e-09,5.667971e-09,1.033186e-09,5.754482e-07,9.863797e-07,2.8801878e-07,7.363269e-09,1.7680577e-09,5.041511e-08,4.10364e-09,7.894414e-09,8.418283e-09,4.954927e-09,7.603376e-09,3.7056452e-08,1.5352271e-09,1.5061232e-08,2.8645445e-08,5.311449e-09,2.3252505e-07,1.2063538e-08,4.962203e-09,4.0308805e-09,2.9613147e-09,3.0588126e-08,1.0913936e-09,2.066372e-09,5.296897e-09,9.044015e-09,6.009941e-09,4.5911293e-09,3.4706318e-09,1.5279511e-10,8.076313e-10,1.34823495e-08,6.4537744e-09,5.689799e-09,6.4756023e-09,1.0841177e-08,1.5243131e-08,2.7139322e-09,4.2200554e-09,6.91216e-10
L1444,5.576294e-08,9.6828444e-08,4.7002686e-08,2.9685907e-08,2.9715011e-08,1.12719135e-07,2.1740561e-08,6.0594175e-08,6.9179805e-08,6.341725e-08,9.924406e-09,5.5879354e-08,9.772484e-07,8.05594e-08,1.5387195e-07,1.6359263e-07,9.770156e-08,1.4834222e-07,7.197377e-07,3.0297088e-08,2.8961222e-07,5.5888086e-07,1.0430813e-07,1.1228258e-07,1.8210267e-07,9.450014e-08,7.849303e-08,5.8847945e-08,5.8987644e-07,2.0925654e-08,3.8009603e-08,1.03143975e-07,1.7543789e-07,1.1562952e-07,8.800998e-08,6.5687345e-08,3.7252903e-09,1.4726538e-08,2.6306952e-07,1.26136e-07,1.09750545e-07,1.3006502e-07,2.1336018e-07,2.979068e-07,5.2154064e-08,8.335337e-08,1.3242243e-08
L1446,3.6787242e-07,6.498303e-07,3.1560194e-07,1.982553e-07,1.9627623e-07,7.5250864e-07,1.5133992e-07,3.017485e-07,4.597241e-07,4.6938658e-07,6.647315e-08,3.7206337e-07,6.5221684e-06,5.4505654e-07,1.0298099e-06,1.0905787e-06,6.593764e-07,9.915093e-07,4.7930516e-06,2.0698644e-07,1.9115396e-06,3.7192367e-06,7.01868e-07,2.803281e-07,4.4330955e-07,6.201444e-07,5.2538235e-07,3.9755832e-07,3.895373e-06,1.36788e-07,2.3748726e-07,6.847549e-07,1.1579832e-06,7.62986e-07,5.841721e-07,4.3422915e-07,2.6659109e-08,9.464566e-08,1.7561251e-06,8.3690975e-07,7.223571e-07,8.86037e-07,1.4276011e-06,1.9764993e-06,3.4470577e-07,5.628681e-07,8.533243e-08
L1474,1.748302e-05,3.1089643e-05,2.4037203e-05,7.949537e-06,4.022382e-06,4.2599393e-05,1.2845034e-05,1.6821548e-05,2.9763905e-05,2.320041e-05,1.1700438e-05,3.0141324e-05,0.0011482544,4.4794288e-05,4.3488108e-05,6.452389e-05,3.5215402e-05,0.0032791395,0.00021488778,2.5838614e-05,0.0009985412,0.004655108,0.00012392458,1.7884187e-05,7.345248e-05,0.00014054775,9.676069e-05,9.2081726e-05,0.005164719,9.121932e-05,0.00019667856,9.1031194e-05,0.00032845326,0.00025648437,0.0001402013,0.0001364667,6.7260116e-06,0.0004965849,0.00048368052,0.0002793856,0.00022664666,0.00017096847,0.00036889315,0.0005892236,0.00027394854,8.626096e-05,2.8444454e-05
