,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L3077,9.450188e-06,5.103124e-06,5.1944517e-07,3.259629e-06,7.7765435e-08,2.5728368e-06,1.3968092e-06,4.041358e-07,1.0156655e-06,1.2839446e-06,1.2062374e-06,2.8708018e-07,8.0134487e-07,2.9937946e-06,3.5652192e-07,2.1938467e-06,1.6088597e-06,9.408104e-07,5.2832766e-06,1.5271944e-06,1.4355755e-06,3.2110256e-06,1.8706778e-06,2.4740002e-06,8.830102e-08,5.3667463e-08,5.0340896e-06,4.378089e-06,6.3242624e-07,2.3137545e-07,2.122426e-06,1.9085128e-06,4.236819e-06,6.367336e-06,6.2324107e-06,1.5874975e-06,1.1659577e-06,1.5439582e-06,8.067582e-08,1.9540312e-06,6.3859625e-07,1.1732918e-06
L3078,5.742186e-07,9.914511e-07,1.4202669e-08,2.5791815e-07,1.4551915e-08,3.852765e-07,3.2002572e-07,7.811468e-08,1.01164915e-07,1.2200326e-07,1.3923272e-07,1.3271347e-08,2.3748726e-08,3.7014252e-07,5.826587e-08,3.190362e-07,3.047171e-07,3.0722003e-07,2.1449523e-07,1.7287675e-08,2.9924558e-07,2.7148053e-07,2.264278e-08,3.5506673e-08,2.5262125e-08,2.5262125e-08,2.4336623e-07,3.806781e-07,3.6146957e-08,1.2182863e-07,2.7153874e-07,2.30968e-07,2.1304004e-07,4.81843e-07,4.3510227e-07,3.9715087e-07,2.1589221e-07,7.3516276e-08,1.1117663e-08,1.4191028e-07,4.575122e-08,2.7532224e-08
L3116,1.1519442e-06,1.0804797e-07,5.1355164e-07,2.6018824e-07,5.3657277e-07,3.2318349e-07,2.5160261e-08,3.240857e-07,3.288733e-08,8.0122845e-08,2.952729e-07,4.703179e-08,1.6482954e-07,2.4345354e-08,5.592301e-07,4.5368506e-07,8.81555e-08,2.3809844e-07,2.68672e-07,6.4919004e-07,3.2201933e-07,2.0352309e-07,2.051529e-07,8.7107765e-08,9.327778e-09,1.2223609e-09,3.2452226e-07,4.1129533e-07,1.2306555e-07,2.9310468e-07,9.6159056e-08,9.9345925e-08,1.7718412e-07,3.6375422e-07,1.6653212e-07,1.9770232e-07,1.5410478e-08,3.5978155e-07,7.140625e-08,1.00408215e-07,3.630703e-08,5.577749e-07
L354,4.8962247e-06,3.1285163e-07,7.4218406e-07,5.1563256e-07,1.0250806e-06,3.5420817e-07,2.8521754e-07,7.4370473e-07,3.160676e-07,8.568168e-08,3.6977872e-07,4.800677e-08,1.7540879e-07,2.5102054e-08,7.730996e-07,6.736227e-07,9.6086296e-08,2.5026384e-07,3.3529068e-07,8.791103e-07,5.4148404e-07,1.980763e-06,3.260393e-06,1.5944097e-06,5.2095857e-09,2.6411726e-09,3.6157144e-07,4.3910404e-07,1.1538941e-07,4.2752072e-07,0.00012850937,4.2732718e-06,4.399626e-07,9.249634e-07,3.8590224e-07,2.8729846e-07,2.275192e-07,7.4179843e-07,4.265894e-07,1.3136014e-07,3.655441e-08,1.3128738e-06
L355,5.4998964e-08,2.1173037e-09,2.4519977e-08,2.3774192e-08,9.568976e-08,1.0186341e-10,9.534779e-08,9.5442374e-08,9.5566065e-08,1.4551915e-10,2.3283064e-10,1.0913936e-11,3.2014214e-10,3.783498e-10,2.5465852e-10,2.3101165e-09,4.1836756e-10,4.5474735e-10,6.91216e-11,2.1496817e-08,2.068191e-08,6.042683e-09,7.821654e-09,3.747118e-09,3.274181e-11,4.3655746e-11,2.4374458e-10,1.7826096e-10,1.4551915e-10,1.9415893e-08,4.3168257e-08,4.1880412e-08,4.182948e-08,1.036824e-08,6.657501e-10,6.7666406e-10,9.073119e-09,8.352799e-09,2.0871084e-08,3.0559022e-10,4.0017767e-11,3.0406227e-08
L357,1.094304e-06,9.7170414e-08,4.6555942e-07,2.4480687e-07,5.480033e-07,2.8172508e-07,9.093492e-08,3.5364064e-07,1.0533404e-07,6.984919e-08,2.5598274e-07,4.091271e-08,1.4454417e-07,2.1485903e-08,4.8117363e-07,3.8980215e-07,7.780909e-08,2.0924199e-07,2.3291068e-07,5.823895e-07,2.941888e-07,2.1473534e-07,2.3253233e-07,1.0523945e-07,8.301868e-09,1.1641532e-09,2.8155773e-07,3.5778066e-07,1.07502274e-07,2.690649e-07,8.67738e-07,1.891458e-07,1.9151048e-07,3.193345e-07,1.4076068e-07,1.7239654e-07,8.236384e-09,3.2046228e-07,7.748167e-08,8.898496e-08,3.173045e-08,5.099864e-07
L413,1.7120183e-06,6.301707e-08,9.909127e-08,8.213101e-08,1.3923272e-07,1.0318763e-07,2.2079621e-07,3.6925485e-08,1.0726217e-07,3.335299e-08,9.028736e-08,2.05182e-08,4.5343768e-08,6.2427716e-09,1.4724355e-07,1.1487282e-07,1.8975697e-08,8.1527105e-08,6.939081e-08,1.603039e-07,4.091271e-08,8.51971e-07,1.2176024e-06,5.941911e-07,8.571078e-09,3.7107384e-09,7.751805e-08,1.1937664e-07,1.9354047e-08,2.8863724e-08,1.1343218e-08,1.4864054e-07,4.802132e-10,2.2497261e-08,1.504668e-08,6.030314e-08,6.884511e-08,3.376772e-08,4.7089998e-08,3.237801e-08,1.648732e-08,5.440961e-08
L414,1.225213e-06,1.15149305e-07,5.316979e-07,2.7044734e-07,5.791517e-07,3.34403e-07,4.582398e-08,3.5717676e-07,5.606853e-08,8.2713086e-08,3.0521187e-07,4.870526e-08,1.7099956e-07,2.568413e-08,5.7886064e-07,4.72166e-07,9.1749826e-08,2.4701876e-07,2.7813076e-07,6.7240035e-07,3.3348624e-07,2.2404129e-07,2.3012399e-07,9.8501914e-08,9.065843e-09,1.2660166e-09,3.3572724e-07,4.255562e-07,1.2732926e-07,3.0327647e-07,1.0097574e-07,1.0152871e-07,1.8368883e-07,3.7615246e-07,1.721346e-07,2.0455627e-07,1.6007107e-08,3.722089e-07,7.390918e-08,1.0403164e-07,3.7573045e-08,5.772017e-07
L415,4.5919296e-07,4.2869942e-08,1.9843719e-07,1.00910256e-07,2.0828884e-07,1.2485543e-07,8.934876e-09,1.2531382e-07,1.2820237e-08,3.097375e-08,1.1410884e-07,1.8182618e-08,6.373011e-08,9.407813e-09,2.1605229e-07,1.7526327e-07,3.4080585e-08,9.206269e-08,1.0384247e-07,2.509114e-07,1.244116e-07,8.344068e-08,8.568895e-08,3.6634447e-08,3.3178367e-09,4.5838533e-10,1.2537203e-07,1.5902333e-07,4.7577487e-08,1.12973794e-07,3.7631253e-08,3.7733116e-08,6.867049e-08,1.4036777e-07,6.432674e-08,7.6252036e-08,5.988113e-09,1.3897807e-07,2.750312e-08,3.8831786e-08,1.3969839e-08,2.1546293e-07
L418,4.500238e-06,2.4514156e-07,5.805923e-07,3.5690027e-07,7.2218245e-07,3.8632425e-07,3.001769e-07,2.6111957e-07,7.741619e-08,9.775977e-08,3.6138226e-07,6.1350875e-08,2.1039159e-07,3.0908268e-08,6.635091e-07,5.2602263e-07,1.0992517e-07,3.031746e-07,3.380701e-07,7.6839933e-07,3.4627737e-07,1.1037919e-06,1.2771925e-06,6.3262996e-07,5.9837475e-08,1.5716068e-09,3.858877e-07,4.984031e-07,1.5064143e-07,3.0736555e-07,2.3233588e-07,1.2034434e-07,1.8495484e-07,3.4904224e-07,1.6548438e-07,2.371089e-07,7.299241e-08,3.8632425e-07,2.2177119e-08,1.3457611e-07,4.40632e-08,5.677866e-07
L434,4.19101e-06,3.851601e-07,1.895387e-06,1.0071963e-06,2.1256274e-06,1.132983e-06,3.6662095e-07,1.4152611e-06,3.594905e-07,2.803281e-07,1.0344374e-06,1.6539707e-07,5.78817e-07,8.66421e-08,1.996872e-06,1.639768e-06,3.099267e-07,8.36415e-07,9.4179995e-07,2.3669854e-06,1.2182863e-06,7.286144e-07,7.727358e-07,3.137975e-07,3.2392563e-08,4.5401976e-09,1.1384254e-06,1.4441612e-06,4.3111504e-07,1.1120574e-06,4.2602187e-07,5.144393e-07,6.998598e-07,1.3998651e-06,6.2194886e-07,6.913033e-07,3.1926902e-08,1.347129e-06,3.5381527e-07,3.5212724e-07,1.2514647e-07,2.1438464e-06
L477,1.24280195e-05,9.978467e-07,1.8069841e-07,1.9761501e-07,1.7086859e-07,4.115209e-07,2.6297566e-06,1.5682963e-06,1.4988909e-06,8.097413e-08,4.8710353e-07,2.9096554e-08,1.4997204e-07,1.071021e-08,4.0081795e-07,2.800807e-07,8.940697e-08,1.9418076e-07,4.612375e-07,4.5693014e-08,2.748493e-07,5.678645e-06,5.747803e-06,1.5227924e-06,3.0097726e-07,3.4197e-10,2.2198219e-07,2.4418114e-07,6.704795e-08,7.8467565e-07,6.0760533e-05,1.4319376e-06,1.6168633e-07,5.4828706e-07,5.0531526e-07,3.3785182e-07,2.890447e-07,1.679e-07,1.8857827e-07,7.843482e-08,2.1638698e-08,3.867899e-08
L484,1.3898243e-06,1.1239899e-07,6.800401e-07,4.4092303e-07,9.4182906e-07,1.9927393e-07,1.0765216e-06,1.1359225e-06,8.077768e-07,3.169407e-08,1.8594437e-07,3.0355295e-08,8.4459316e-08,1.8131686e-08,5.027978e-07,4.9202936e-07,3.8620783e-08,1.2939563e-07,1.8501305e-07,7.326307e-07,5.4048724e-07,1.0328658e-06,1.4846155e-06,8.402567e-07,4.5169145e-08,1.2514647e-09,2.3460598e-07,2.971792e-07,6.676419e-08,5.3536496e-07,1.4170451e-05,1.1490192e-07,3.3766264e-07,6.782939e-07,2.515735e-07,1.1865632e-07,2.93192e-07,5.130714e-07,4.194153e-07,6.062328e-08,2.2380846e-08,1.0209333e-06
L494,3.2737807e-07,1.4108082e-08,2.238994e-07,1.8971332e-07,3.530149e-07,3.318928e-08,3.9551742e-07,4.3086402e-07,3.1690433e-07,6.91216e-10,5.1430106e-08,7.530616e-10,1.0768417e-09,1.1314114e-09,1.6807098e-07,1.8620631e-07,2.1100277e-10,1.7498678e-09,4.92837e-08,2.1455344e-07,2.1362212e-07,2.375964e-08,1.4065154e-07,1.38134055e-08,1.1641532e-09,6.511982e-10,5.4798875e-08,5.4831617e-08,1.7826096e-10,1.7752609e-07,1.7642378e-07,2.5538247e-07,1.100525e-07,2.904453e-07,1.1492011e-07,3.02025e-08,1.4318357e-07,1.7580169e-07,1.9563595e-07,1.0513759e-09,1.538865e-09,3.7174323e-07
L497,8.661955e-07,7.082417e-08,4.0814484e-07,2.5326153e-07,5.1015377e-07,1.9772415e-07,2.3502798e-07,4.1948078e-07,1.9963045e-07,4.888716e-08,1.7961429e-07,2.917659e-08,1.0176882e-07,1.5505066e-08,3.8385042e-07,3.265959e-07,5.455513e-08,1.4755642e-07,1.6341073e-07,4.889007e-07,2.8579234e-07,1.5077967e-07,2.0537846e-07,7.277413e-08,5.5879354e-09,1.0186341e-09,1.9797153e-07,2.5264308e-07,7.530616e-08,2.6531052e-07,3.7291466e-07,2.0939478e-07,1.613007e-07,3.494788e-07,1.432054e-07,1.1951488e-07,7.570634e-08,3.05532e-07,1.4346733e-07,6.1998435e-08,2.0576408e-08,5.254624e-07
L498,9.438139e-06,6.45814e-07,2.6426278e-08,4.9790833e-07,4.6816422e-07,2.9115472e-07,2.036686e-07,4.7899084e-07,3.777095e-07,9.214273e-08,6.6822395e-08,7.147901e-08,2.1519372e-07,3.8126018e-08,8.539064e-08,2.6682392e-07,1.0599615e-07,3.3160904e-07,7.299241e-08,1.80793e-07,3.2037497e-07,4.3447944e-06,7.250521e-06,3.4223194e-06,1.7439015e-07,1.9208528e-09,1.9773142e-07,3.6595156e-07,1.9167783e-07,2.4563633e-08,5.6174846e-05,2.4005712e-06,4.1356543e-08,6.657792e-07,3.152818e-07,9.534415e-08,4.6932837e-07,1.1717202e-07,5.44067e-07,1.4924444e-07,7.3661795e-08,4.2741885e-07
L557,2.886154e-06,1.9551953e-07,8.3324267e-07,4.577305e-07,9.46442e-07,4.801259e-07,7.878407e-08,6.222108e-07,1.5675323e-07,1.2171222e-07,4.4540502e-07,6.9703674e-08,2.5013287e-07,3.6205165e-08,8.718489e-07,7.158087e-07,1.3587123e-07,3.6474376e-07,4.008325e-07,1.042441e-06,5.391339e-07,6.069022e-07,1.2892706e-06,5.703041e-07,5.5064447e-08,2.3283064e-09,5.1582174e-07,6.564369e-07,1.9642175e-07,5.1884854e-07,2.5244663e-07,1.986482e-07,3.1557283e-07,6.529008e-07,2.8665818e-07,3.1401578e-07,2.6935595e-08,6.2503386e-07,1.7423008e-07,1.6133708e-07,5.592301e-08,9.979703e-07
L603,2.3095636e-06,8.182542e-07,6.8201916e-07,2.6723137e-07,5.8164005e-07,3.52622e-07,1.7823186e-07,2.947636e-07,5.7043508e-09,8.105417e-08,3.1135278e-07,4.991307e-08,1.7951243e-07,2.6047928e-08,5.8300793e-07,4.672911e-07,9.711948e-08,2.5704503e-07,2.91795e-07,6.8204827e-07,3.2153912e-07,1.7728307e-06,3.4004916e-06,1.4809484e-06,1.3792305e-07,2.415618e-09,4.095782e-07,5.235488e-07,1.5553087e-07,3.6659185e-07,2.0465814e-07,3.4517143e-08,2.1888991e-07,4.3897307e-07,1.9796425e-07,2.5171903e-07,2.9511284e-08,4.4741319e-07,7.945346e-08,1.3178214e-07,4.5256456e-08,6.846967e-07
L607,7.935916e-06,7.257296e-05,1.731515e-05,6.437185e-07,1.4946563e-06,9.912765e-07,8.88831e-07,6.0140155e-07,1.5919795e-07,2.2450695e-07,8.288189e-07,1.2753299e-07,4.7986396e-07,6.6298526e-08,1.5168916e-06,1.2018718e-06,2.6606722e-07,6.9499947e-07,7.5413845e-07,1.7451821e-06,7.824856e-07,8.476083e-06,1.5783531e-05,6.8517984e-06,6.383634e-07,6.8102963e-09,1.2056553e-06,1.5340047e-06,4.611793e-07,1.0188669e-06,6.4849155e-07,5.5064447e-08,6.033224e-07,1.2225937e-06,5.620532e-07,7.430208e-07,1.3865065e-07,1.2652599e-06,1.7037382e-07,3.775349e-07,1.3213139e-07,1.8926221e-06
L609,6.26751e-06,7.964007e-05,2.1608546e-05,7.4639684e-07,1.6674167e-06,1.0740478e-06,7.164781e-07,7.5652497e-07,1.1228258e-07,2.52272e-07,9.294017e-07,1.4400575e-07,5.327165e-07,7.4796844e-08,1.7163111e-06,1.3683457e-06,2.9313378e-07,7.725321e-07,8.442439e-07,1.979235e-06,9.1060065e-07,6.4680935e-06,1.2231292e-05,5.318434e-06,4.9645314e-07,6.4610504e-09,1.2538512e-06,1.5947735e-06,4.7916546e-07,1.0725344e-06,6.1211176e-07,2.2235326e-08,6.375485e-07,1.2947712e-06,5.949405e-07,7.70553e-07,1.2904638e-07,1.3292301e-06,1.9441359e-07,3.9243605e-07,1.3783574e-07,2.001354e-06
L611,2.047309e-06,3.5989797e-07,6.485934e-07,2.9732473e-07,6.190967e-07,3.760797e-07,7.022754e-08,3.4183904e-07,4.627509e-09,9.506766e-08,3.4863479e-07,5.478796e-08,1.9608706e-07,2.8230716e-08,6.5445784e-07,5.277543e-07,1.0612712e-07,2.8497016e-07,3.1568925e-07,7.580529e-07,3.650348e-07,2.704619e-07,7.2411785e-07,3.3069227e-07,3.1926902e-08,1.717126e-09,4.0059967e-07,5.092006e-07,1.5286787e-07,3.525638e-07,1.4834222e-07,6.7215296e-08,2.1139567e-07,4.3130422e-07,1.979206e-07,2.446468e-07,2.986053e-08,4.349713e-07,7.5116986e-08,1.2523378e-07,4.4266926e-08,6.646151e-07
L612,1.0992226e-06,1.932276e-07,3.4824188e-07,1.5964179e-07,3.3239485e-07,2.0192238e-07,3.7696736e-08,1.8353603e-07,2.4811015e-09,5.1033567e-08,1.8717401e-07,2.940942e-08,1.0528311e-07,1.5163096e-08,3.5137055e-07,2.8333307e-07,5.6992576e-08,1.5300611e-07,1.6948616e-07,4.070098e-07,1.9599975e-07,1.4522811e-07,3.8879807e-07,1.7754792e-07,1.7120328e-08,9.313226e-10,2.1509186e-07,2.733941e-07,8.20728e-08,1.8930587e-07,7.966446e-08,3.61033e-08,1.13512215e-07,2.3156463e-07,1.0626536e-07,1.3135286e-07,1.6028935e-08,2.3354369e-07,4.0323357e-08,6.72444e-08,2.3748726e-08,3.568275e-07
L616,1.06272055e-05,6.460352e-06,3.1664968e-06,8.706702e-07,2.0808075e-06,1.4083926e-06,1.4826655e-06,7.606577e-07,2.7974602e-07,3.107125e-07,1.1492521e-06,1.7590355e-07,6.70203e-07,9.161886e-08,2.0900043e-06,1.6482081e-06,3.73926e-07,9.696232e-07,1.0471558e-06,2.400251e-06,1.0553049e-06,1.4473684e-05,2.6753522e-05,1.1594384e-05,1.07917e-06,1.0244548e-08,1.7596176e-06,2.2392487e-06,6.732298e-07,1.4755642e-06,1.0014046e-06,1.5017577e-07,8.7171793e-07,1.7640414e-06,8.1118196e-07,1.0862714e-06,2.1536835e-07,1.8348219e-06,2.3364555e-07,5.5122655e-07,1.9255094e-07,2.7330825e-06
L621,5.0957897e-07,5.550828e-08,1.4394027e-07,6.9558155e-08,1.4454417e-07,8.771167e-08,1.5257683e-08,8.010829e-08,1.2732926e-09,2.2213499e-08,8.14689e-08,1.2798409e-08,4.580943e-08,6.5920176e-09,1.5297701e-07,1.2337841e-07,2.4796464e-08,6.658229e-08,7.375638e-08,1.7724233e-07,8.539064e-08,4.683534e-08,1.3924e-07,6.398477e-08,6.206392e-09,4.0017767e-10,9.311043e-08,1.1834345e-07,3.5543053e-08,8.194911e-08,3.4022378e-08,1.5883415e-08,4.911999e-08,1.0016083e-07,4.593312e-08,5.686161e-08,6.9485395e-09,1.010776e-07,1.7433194e-08,2.9118382e-08,1.0266376e-08,1.5436672e-07
L622,4.276779e-06,4.656613e-07,1.2087403e-06,5.842303e-07,1.2139499e-06,7.3653064e-07,1.2715464e-07,6.732007e-07,1.1175871e-08,1.8658466e-07,6.840273e-07,1.0736403e-07,3.844907e-07,5.5297278e-08,1.2845849e-06,1.0361255e-06,2.0832522e-07,5.5896817e-07,6.1898027e-07,1.4881662e-06,7.172639e-07,3.9252336e-07,1.1668599e-06,5.365e-07,5.2066753e-08,3.4051482e-09,7.8155426e-07,9.932846e-07,2.9837247e-07,6.8810186e-07,2.857123e-07,1.3379031e-07,4.1231397e-07,8.4139174e-07,3.8580038e-07,4.77361e-07,5.797483e-08,8.48755e-07,1.4677062e-07,2.4409383e-07,8.617644e-08,1.29611e-06
L643,3.7576247e-06,3.5412086e-07,1.069915e-06,5.420152e-07,1.1912489e-06,6.333721e-07,4.8064976e-08,7.3068077e-07,1.568551e-07,1.6063859e-07,5.896727e-07,9.2957634e-08,3.3184187e-07,4.831236e-08,1.1114025e-06,9.0299e-07,1.7974526e-07,4.8232323e-07,5.3401163e-07,1.3196841e-06,6.547634e-07,1.9137224e-07,7.5090793e-07,3.533205e-07,3.5346602e-08,3.0267984e-09,6.699556e-07,8.512143e-07,2.553861e-07,6.182818e-07,2.7198985e-07,1.9858999e-07,4.0499435e-07,7.5099524e-07,3.316236e-07,4.084868e-07,2.0780135e-08,7.559138e-07,1.644512e-07,2.0928564e-07,7.307972e-08,1.1772063e-06
L656,5.9525337e-07,4.5489287e-08,1.9276922e-07,9.7206794e-08,2.2051245e-07,1.2070086e-07,7.661583e-09,1.3456156e-07,2.5240297e-08,3.0428055e-08,1.1200609e-07,1.7804268e-08,6.316259e-08,9.436917e-09,2.1149026e-07,1.7238199e-07,3.4095137e-08,9.153882e-08,1.01936166e-07,2.453744e-07,1.1955854e-07,1.7469574e-08,4.8712536e-08,2.7008355e-08,3.099558e-09,5.0931703e-10,1.2552482e-07,1.5932892e-07,4.7832145e-08,1.11656846e-07,4.472531e-08,2.5422196e-08,6.696064e-08,1.3683166e-07,6.266055e-08,7.673225e-08,8.381903e-09,1.3721001e-07,2.4796464e-08,3.927562e-08,1.4006218e-08,2.1069718e-07
L676,1.2300734e-07,8.236384e-09,3.920286e-08,2.005254e-08,1.9936124e-08,2.5567715e-08,2.3355824e-08,2.8812792e-09,2.0168955e-08,6.9412636e-09,2.3763278e-08,3.4924597e-09,1.2179953e-08,1.7753337e-09,4.3350155e-08,3.26836e-08,6.4173946e-09,1.8175342e-08,2.0620064e-08,4.9811206e-08,2.3923349e-08,2.6775524e-09,8.061761e-09,5.0349627e-09,4.947651e-10,1.0186341e-10,2.5596819e-08,3.335299e-08,9.138603e-09,2.1987944e-08,8.3236955e-09,4.263711e-09,1.2732926e-08,2.7896021e-08,1.3867975e-08,1.4479156e-08,9.1677066e-10,2.7692295e-08,5.16593e-09,8.294592e-09,2.575689e-09,4.4397893e-08
L685,1.5570549e-09,3.3105607e-10,1.8553692e-10,1.7826096e-10,2.5476766e-08,8.731149e-11,2.510933e-08,2.5229383e-08,2.5276677e-08,8.731149e-11,1.2369128e-10,1.0913936e-11,2.2555469e-10,2.4738256e-10,2.2919266e-10,1.5643309e-09,2.764864e-10,3.2014214e-10,7.2759576e-11,3.274181e-10,1.4915713e-10,7.1304385e-10,4.4019544e-10,3.1650416e-10,2.910383e-11,1.8189894e-11,5.0931703e-11,8.0035534e-11,7.275958e-12,3.7107384e-10,2.6921043e-10,2.8630893e-09,2.8267095e-09,4.7293724e-11,1.1277734e-10,2.2919266e-10,6.184564e-11,2.1827873e-11,3.274181e-11,5.4569682e-11,8.731149e-11,7.275958e-12
L726,4.802132e-10,3.274181e-11,1.5279511e-10,8.0035534e-11,1.5643309e-10,9.458745e-11,7.275958e-12,9.458745e-11,7.275958e-12,2.1827873e-11,8.731149e-11,1.0913936e-11,5.0931703e-11,7.275958e-12,1.6370905e-10,1.3460522e-10,2.5465852e-11,6.91216e-11,8.367351e-11,1.9281288e-10,9.094947e-11,1.4551915e-11,3.274181e-11,1.8189894e-11,3.637979e-12,0.0,9.822543e-11,1.2369128e-10,4.0017767e-11,8.731149e-11,3.6379788e-11,2.1827873e-11,5.4569682e-11,1.05501385e-10,4.3655746e-11,6.548362e-11,7.275958e-12,1.09139364e-10,2.1827873e-11,2.910383e-11,1.0913936e-11,1.6734703e-10
L762,4.4115586e-06,3.769528e-07,1.4714897e-06,7.614726e-07,1.5564729e-06,8.783536e-07,3.7660357e-08,9.0233516e-07,6.670598e-08,2.30968e-07,8.5274223e-07,1.3550743e-07,4.7968933e-07,7.072231e-08,1.6114791e-06,1.3009412e-06,2.5710324e-07,6.9325324e-07,7.7602454e-07,1.8670689e-06,9.176438e-07,4.4325134e-07,2.0529842e-07,7.735798e-08,6.7520887e-09,4.4237822e-09,9.4709685e-07,1.2015807e-06,3.593159e-07,8.4436033e-07,3.7491554e-07,1.7561251e-07,5.098991e-07,1.0387157e-06,4.740432e-07,5.788752e-07,5.9546437e-08,1.0368531e-06,1.9435538e-07,2.9534567e-07,1.0553049e-07,1.600245e-06
L763,1.8674473e-06,1.6704143e-07,4.8491347e-07,2.6442285e-07,5.267939e-07,2.628076e-07,5.9284503e-08,2.8981594e-07,1.31258275e-08,7.628114e-08,2.8354407e-07,4.5241904e-08,1.6149716e-07,2.401066e-08,5.35656e-07,4.29005e-07,8.629286e-08,2.3267057e-07,2.5879126e-07,6.175833e-07,3.0187948e-07,1.0311487e-07,7.741619e-08,3.6336132e-08,1.8713763e-08,2.1391315e-09,3.188179e-07,4.042813e-07,1.2031524e-07,2.8099748e-07,1.7991988e-07,4.0599843e-09,1.6833656e-07,3.4231925e-07,1.5510886e-07,1.9661093e-07,2.5873305e-08,3.4357072e-07,6.1059836e-08,1.0045187e-07,3.5841367e-08,5.298789e-07
L773,4.4986373e-06,4.2992178e-07,7.657218e-07,4.642934e-07,8.769857e-07,3.1859963e-07,2.9904186e-07,4.0818122e-07,3.472087e-08,1.222943e-07,4.626927e-07,7.497147e-08,2.7249916e-07,4.0890882e-08,8.6729415e-07,6.8120426e-07,1.4406396e-07,3.897294e-07,4.2750617e-07,9.910727e-07,4.6897912e-07,1.0186341e-09,6.845512e-07,2.9438525e-07,9.147334e-08,5.84987e-09,5.349575e-07,6.807095e-07,2.013694e-07,4.520116e-07,4.803878e-07,2.1370943e-07,2.674351e-07,5.2986434e-07,2.3742905e-07,3.3553806e-07,7.377821e-08,5.498878e-07,7.363269e-08,1.755543e-07,6.091432e-08,8.373463e-07
L774,1.7134153e-06,1.4156103e-07,6.638875e-07,3.346504e-07,6.953487e-07,4.141475e-07,1.7083948e-08,4.1459862e-07,3.8766302e-08,1.0384247e-07,3.824971e-07,6.07979e-08,2.1430606e-07,3.1781383e-08,7.23885e-07,5.885522e-07,1.14843715e-07,3.0975207e-07,3.479363e-07,8.4072235e-07,4.1438034e-07,2.306333e-07,1.9284198e-07,7.7925506e-08,8.047209e-09,1.6007107e-09,4.2248575e-07,5.359616e-07,1.6063859e-07,3.795576e-07,1.3159297e-07,1.1558586e-07,2.295128e-07,4.6878995e-07,2.1452433e-07,2.5739428e-07,2.2555469e-08,4.6637433e-07,8.985808e-08,1.3120007e-07,4.6988134e-08,7.201743e-07
L78,4.656613e-10,3.6379788e-11,1.382432e-10,6.91216e-11,1.4188117e-10,8.367351e-11,2.1827873e-11,8.0035534e-11,0.0,2.1827873e-11,8.0035534e-11,1.0913936e-11,4.7293724e-11,3.637979e-12,1.4915713e-10,1.200533e-10,2.5465852e-11,6.548362e-11,7.2759576e-11,1.7462298e-10,8.367351e-11,1.9645086e-10,4.2200554e-10,1.9281288e-10,2.1827873e-11,0.0,9.822543e-11,1.2369128e-10,3.6379788e-11,8.367351e-11,2.5465852e-11,1.8189894e-11,5.0931703e-11,1.05501385e-10,5.0931703e-11,5.4569682e-11,3.637979e-12,1.05501385e-10,1.8189894e-11,2.910383e-11,1.0913936e-11,1.5643309e-10
L781,1.5949481e-06,1.1845259e-07,8.5815554e-07,4.1222665e-07,8.75094e-07,5.753827e-07,8.882489e-08,5.441834e-07,6.0070306e-08,1.3416866e-07,4.9121445e-07,7.7765435e-08,2.7165515e-07,3.9406586e-08,9.2881965e-07,7.580966e-07,1.4615944e-07,3.942987e-07,4.452304e-07,1.0835938e-06,5.362672e-07,3.601308e-07,4.627509e-07,1.9132858e-07,3.4982804e-08,1.1059456e-09,5.362672e-07,6.8102963e-07,2.0494917e-07,4.8597576e-07,8.533243e-08,2.2968743e-07,2.9662624e-07,6.0599996e-07,2.7928036e-07,3.23751e-07,1.990702e-08,6.002374e-07,1.2025703e-07,1.6519334e-07,5.8906153e-08,9.2724804e-07
L803,1.0782969e-06,8.8781235e-08,4.1995372e-07,2.1145388e-07,4.383328e-07,2.6224006e-07,1.0200893e-08,2.6122143e-07,2.3312168e-08,6.581831e-08,2.4214387e-07,3.8475264e-08,1.3534736e-07,1.9848812e-08,4.577887e-07,3.7113205e-07,7.262861e-08,1.9589788e-07,2.2006861e-07,5.317852e-07,2.6221096e-07,1.4519901e-07,1.2200326e-07,4.917092e-08,5.2241376e-09,9.749783e-10,2.6720227e-07,3.3911783e-07,1.01630576e-07,2.397719e-07,8.249481e-08,7.392373e-08,1.4543184e-07,2.9665534e-07,1.3591489e-07,1.62574e-07,1.4115358e-08,2.9508374e-07,5.691254e-08,8.294592e-08,2.9613147e-08,4.5580964e-07
