,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L3267,0.0007224921,0.00035531446,0.0001564743,0.00017755013,0.00044063106,0.00033273268,8.9631416e-05,0.00012399442,1.0995194e-05,0.0012535425
L503,6.3329935e-08,1.4156103e-07,1.1622906e-06,9.097159e-06,5.8859587e-07,6.556511e-07,1.937151e-07,1.3187528e-06,5.2526593e-07,7.860735e-05
L3277,5.190843e-06,4.2477623e-06,6.1567407e-06,1.7176382e-05,2.642977e-06,1.2469245e-06,6.9546513e-07,1.1594966e-06,1.0330696e-06,1.4236197e-05
L3171,0.005319778,3.124401e-05,0.0014310703,0.0025691167,0.0010785125,0.0011219159,0.0009016879,0.0019386634,0.0008910969,0.0021616183
L1002_1,1.54812e-06,5.914684e-06,4.6906644e-07,1.9669416e-05,7.210765e-07,4.318601e-06,5.7852594e-07,1.4050456e-06,6.1566243e-07,8.1737875e-05
L1011_1,1.8838182e-07,1.2251257e-07,2.0480365e-07,1.4539182e-06,2.298766e-07,2.9096554e-08,5.0764356e-08,7.71106e-08,9.6086296e-08,
L1043_1,8.655101e-06,3.0890806e-07,7.91307e-06,1.363139e-05,3.5954e-06,4.226633e-06,2.0925654e-06,6.0697203e-06,9.43488e-07,7.8778045e-05
L1043_2,7.0577225e-06,2.7249916e-07,6.4610067e-06,1.115902e-05,2.935325e-06,3.4455588e-06,1.7190177e-06,4.940186e-06,7.56947e-07,8.518972e-05
L1043_3,5.1468814e-06,2.290908e-07,4.72409e-06,8.20178e-06,2.14584e-06,2.5113695e-06,1.2720993e-06,3.5891426e-06,5.3373515e-07,
L1043_4,3.2697571e-06,1.8662831e-07,3.0183874e-06,5.2977994e-06,1.3708195e-06,1.5942496e-06,8.329225e-07,2.2623717e-06,3.142486e-07,4.1330233e-05
L1043_5,1.6883641e-06,1.5133264e-07,1.5819023e-06,2.8526047e-06,7.1864633e-07,8.223069e-07,4.6274363e-07,1.1450466e-06,1.289518e-07,
L1076_2,2.7092174e-05,9.129569e-05,2.106186e-05,0.00028175674,1.911819e-05,6.821845e-05,2.954714e-05,2.270937e-05,1.5637837e-05,0.00080745853
L1099_2,2.1663436e-07,1.1520751e-07,2.396555e-07,1.9122745e-06,2.7468195e-07,3.5950507e-08,5.086622e-08,9.226642e-08,1.1557131e-07,1.3728495e-06
L11_1,3.531095e-07,1.5286787e-07,2.4247856e-07,1.6852937e-06,2.8744398e-07,1.7127604e-08,4.1967724e-08,8.9232344e-08,1.2302189e-07,1.1630691e-06
L1109_1,1.6542908e-06,7.636845e-07,1.2845849e-06,0.00015448075,4.5530032e-07,6.009941e-08,2.240995e-08,1.01019396e-07,2.0329026e-07,
L1109_2,1.9500148e-06,9.214273e-07,1.612294e-06,0.00015178707,8.3155464e-07,1.1001248e-08,9.202631e-08,2.2735912e-07,3.61586e-07,0.00010184781
L1122_2,2.7903356e-05,9.175576e-05,2.0279549e-05,0.0002762992,2.003368e-05,6.81486e-05,2.9402785e-05,2.2422522e-05,1.6028062e-05,0.0008036932
L1123_1,1.2610108e-06,1.1379598e-06,1.2232922e-06,5.6006247e-06,1.9916333e-06,2.371613e-06,2.6338967e-06,3.9476436e-07,1.2561213e-06,0.00013540697
L1148_1,5.2792893e-07,1.6354898e-07,2.6318594e-07,2.1474407e-06,3.3330434e-07,2.5545887e-08,5.4191332e-08,9.727955e-08,1.2845703e-07,1.843553e-06
L1175_2,6.4119376e-10,5.0367817e-09,2.2009772e-10,7.1968316e-09,4.210051e-09,4.318281e-09,1.8553692e-10,4.0017767e-11,3.2951712e-06,1.069393e-07
L1209_1,2.104789e-07,9.201467e-07,2.216734e-05,2.3318455e-05,5.6046993e-06,5.0738454e-06,1.7173588e-06,3.5390258e-07,5.2962452e-05,0.00034237467
L1209_2,2.2351742e-08,1.013279e-06,2.3316592e-05,2.5331974e-05,6.010756e-06,5.6251884e-06,1.8663704e-06,4.0978193e-07,5.3001568e-05,0.00033615716
L1211_1,8.6741056e-07,2.2421591e-07,1.6042031e-07,5.551032e-06,3.434252e-07,1.4007092e-06,3.0559022e-07,3.7676655e-06,5.5849086e-06,
L1224_1,3.5727862e-07,2.6309863e-08,1.6188715e-06,1.0892982e-06,3.5588164e-07,2.09664e-07,1.1641532e-09,1.6492559e-06,9.275973e-07,
L1225_1,5.04544e-07,8.626375e-08,1.0392396e-06,2.42237e-06,1.344597e-07,5.6799036e-07,9.231735e-08,2.2564782e-06,8.5204374e-07,2.7433503e-05
L1225_2,4.0070154e-07,3.655441e-08,1.6487902e-06,1.3301615e-06,3.5157427e-07,2.6915222e-07,1.1641532e-08,1.8328428e-06,9.693904e-07,2.3788889e-05
L1225_3,2.9522926e-07,1.4319085e-08,2.2700988e-06,2.1990854e-07,5.7264697e-07,3.5157427e-08,7.0547685e-08,1.4031539e-06,1.089531e-06,2.0095962e-05
L1229_1,2.4971087e-07,3.2712705e-08,2.4258625e-06,1.7415732e-07,6.350456e-07,1.4121179e-07,9.7905286e-08,1.2138626e-06,8.825096e-06,4.348706e-05
L1229_2,4.4435728e-07,6.146729e-08,1.2691598e-06,1.8818537e-06,2.2433233e-07,4.2212196e-07,5.4598786e-08,2.0063017e-06,9.084819e-06,
L1230_1,5.529728e-07,6.519258e-08,1.8940773e-06,2.0950101e-06,3.7485734e-07,4.5076013e-07,4.5634806e-08,2.49804e-06,5.132775e-05,1.3530254e-05
L1230_2,4.589092e-07,1.9790605e-08,2.4489127e-06,1.1054799e-06,5.722977e-07,1.7951243e-07,2.7474016e-08,2.1154992e-06,5.1531242e-05,
L1230_3,3.8929284e-07,1.3737008e-08,2.864981e-06,3.6740676e-07,7.1991235e-07,2.2817403e-08,8.218922e-08,1.8314458e-06,5.1716575e-05,
L1230_4,3.122259e-07,5.098991e-08,3.3250544e-06,4.4796616e-07,8.8312663e-07,2.46102e-07,1.4272518e-07,1.5182886e-06,5.1936135e-05,
L1247_1,1.3722456e-07,1.9121217e-08,8.222414e-07,4.040776e-06,3.4167897e-07,4.650792e-07,1.06025254e-07,6.7127985e-07,5.6548743e-08,4.6716566e-05
L1248_1,3.1822128e-07,1.8943683e-07,1.7136044e-06,8.2171755e-07,5.7183206e-07,8.174684e-07,2.386514e-07,1.193519e-06,2.3038592e-07,3.157725e-05
L1261_1,3.4240657e-07,1.6807462e-07,2.1055457e-06,3.6822748e-06,7.422059e-07,1.0072545e-06,2.736051e-07,1.3935205e-06,1.0523945e-07,
L13_1,3.5237463e-07,1.9206345e-07,2.8636714e-07,,,,,,,
L1312_1,3.4598634e-06,2.5845657e-07,3.045323e-06,5.3910626e-06,1.4982288e-06,1.6584308e-06,8.58563e-07,2.2950262e-06,2.703091e-07,1.2297103e-05
L1312_2,1.9615109e-06,2.3235043e-07,1.7105704e-06,3.118752e-06,8.935531e-07,9.3926064e-07,5.1184907e-07,1.2490927e-06,8.845382e-08,7.009352e-06
L1333_1,5.7219295e-06,5.9167156e-05,8.9451205e-06,8.566305e-05,3.0809664e-05,3.3478718e-06,1.0596123e-06,4.8532384e-06,1.4224788e-06,4.2931468e-05
L1333_2,6.667804e-06,5.9192185e-05,9.61707e-06,8.4020314e-05,3.1044125e-05,4.1465973e-06,8.35862e-07,5.462207e-06,1.2469245e-06,3.9857812e-05
L1333_3,7.5286953e-06,5.9229904e-05,1.0230695e-05,8.255162e-05,3.1264964e-05,4.8557995e-06,6.5064523e-07,6.016111e-06,1.0894146e-06,3.701856e-05
L1340_1,9.524374e-07,2.1682354e-07,3.7586142e-07,3.549474e-06,4.7049252e-07,5.2241376e-08,6.156915e-08,1.333392e-07,1.3280078e-07,2.4989567e-06
L1343_1,3.0356023e-07,1.4025863e-07,2.324814e-07,1.8937208e-06,2.2236054e-07,3.7092832e-08,4.399044e-08,9.2739356e-08,3.3493416e-07,1.4142206e-06
L1367_1,1.1550495e-05,1.8200371e-05,0.0005108414,1.8300489e-07,6.07688e-08,7.357448e-08,9.84408e-07,3.1432137e-08,1.1189841e-06,0.00014337385
L1370_1,4.065747e-06,1.9857544e-06,0.00012633251,4.5460183e-08,1.5133992e-08,1.8218998e-08,2.62924e-07,7.741619e-09,3.6379788e-08,7.091131e-05
L1371_1,6.391434e-06,2.9590447e-05,0.00038742786,1.648441e-07,5.47152e-08,6.589107e-08,7.818453e-07,2.7939677e-08,2.3662578e-06,7.795356e-05
L1379_1,1.6880222e-09,6.6692155e-07,2.2566383e-06,8.28004e-09,2.757588e-09,3.3105607e-09,4.3743057e-08,1.4188117e-09,5.999027e-08,1.0124786e-06
L1385_1,1.0849908e-06,5.3360127e-06,0.00023705896,1.1478551e-07,3.8184226e-08,4.5984052e-08,7.349299e-07,1.9441359e-08,8.4599014e-07,0.00013066933
L1395_1,1.1132215e-08,5.910697e-07,3.7510108e-06,7.668859e-09,2.561137e-09,3.099558e-09,4.0599843e-08,1.3096724e-09,5.5573764e-08,1.0142539e-06
L1395_2,5.6170393e-09,2.9856892e-07,1.8947685e-06,3.8780854e-09,1.2951205e-09,1.5570549e-09,2.05182e-08,6.6211214e-10,2.8070644e-08,5.1233656e-07
L1400_1,2.917659e-09,1.3585668e-07,3.0189003e-05,6.0535967e-09,2.0372681e-09,2.4374458e-09,3.21088e-08,1.0622898e-09,4.4143235e-08,1.4433317e-07
L1400_2,9.858923e-10,9.231735e-08,2.4525292e-05,2.401066e-09,8.2945917e-10,9.822543e-10,1.2805685e-08,4.5110937e-10,1.7738785e-08,6.2918843e-07
L1405_1,5.529728e-09,2.9407238e-07,1.3800673e-06,3.7180143e-09,1.2369128e-09,1.4915713e-09,1.9696017e-08,6.330083e-10,2.6957423e-08,4.9669325e-07
L1411_1,2.6728958e-07,1.41831115e-05,0.00047415425,1.1327211e-07,3.760215e-08,4.5401976e-08,5.996553e-07,1.9324943e-08,8.2096085e-07,1.847779e-05
L1415_1,3.2247044e-07,1.7143786e-05,0.0005312639,1.4179386e-07,4.726462e-08,5.7043508e-08,7.5111166e-07,2.4214387e-08,1.0279473e-06,1.875218e-05
L1415_3,3.320165e-07,1.7650891e-05,0.00052910205,1.4831312e-07,4.9127266e-08,5.9604645e-08,7.8463927e-07,2.514571e-08,1.0745134e-06,1.7914223e-05
L1422_1,1.8244464e-09,1.0200529e-07,2.8184604e-05,6.9303496e-09,2.2919266e-09,2.8048817e-09,3.686e-08,1.1496013e-09,5.0222297e-08,4.106867e-06
L1428_1,1.720764e-08,9.146679e-07,5.1163952e-05,1.7433194e-08,5.806214e-09,6.9994712e-09,9.2273694e-08,3.0122465e-09,1.2660166e-07,2.6710579e-05
L1444_1,8.454663e-08,1.7200364e-07,2.2089807e-07,1.2543751e-07,4.17931e-08,5.037873e-08,1.2366218e-07,2.1595042e-08,9.167707e-09,7.094641e-07
L1444_2,4.2375177e-08,8.62492e-08,1.1078373e-07,6.289338e-08,2.0954758e-08,2.5247573e-08,6.202026e-08,1.0855729e-08,4.612957e-09,3.5580888e-07
L1449_1,7.100403e-05,3.351271e-05,8.457899e-05,0.00010482967,3.4734607e-05,4.2170286e-05,8.191168e-05,1.7747283e-05,2.6673079e-05,0.00034579635
L1451_1,1.0966323e-07,1.6301055e-07,1.953158e-07,1.6248669e-07,5.410402e-08,6.525079e-08,1.5305704e-07,2.7910573e-08,1.8277206e-08,8.3399937e-07
L1455_1,4.684989e-08,5.1972165e-08,5.6657882e-08,6.9325324e-08,2.309389e-08,2.7852366e-08,6.32499e-08,1.1903467e-08,9.669748e-09,3.3083052e-07
L1460_1,9.320676e-06,6.788224e-05,0.00010044128,7.2792172e-06,1.0356307e-06,5.9083104e-06,0.00032904,2.811104e-05,7.0109963e-06,0.00058258325
L1485_1,5.448237e-08,3.2247044e-08,2.3661414e-08,8.0035534e-08,2.6528141e-08,3.1475793e-08,4.3859472e-08,1.1365046e-08,1.39989424e-08,2.750021e-07
L1500_1,8.166011e-06,7.503084e-06,0.00016717205,1.2089033e-05,4.017842e-06,4.53979e-06,1.1522206e-06,4.156027e-08,1.7540297e-06,2.586568e-05
L1500_2,8.677598e-06,7.447903e-06,0.00016778422,1.2876117e-05,3.9702863e-06,4.65865e-06,1.3284152e-06,4.0628947e-07,1.8491992e-06,2.7215341e-05
L1566_3,9.091804e-06,1.0430114e-05,2.401648e-06,1.4465186e-05,4.3450855e-06,7.2206603e-06,4.747999e-06,7.0303213e-07,4.3548644e-06,6.189919e-05
L1574_1,1.2618024e-05,8.203089e-05,4.1523017e-06,0.0001357086,1.1342112e-05,3.534928e-05,1.3224781e-05,1.6556587e-05,1.6307924e-05,0.00025081635
L1576_1,5.6615332e-05,7.915846e-05,3.646477e-05,3.9293896e-05,2.4213223e-05,2.272427e-05,3.3496646e-05,2.6250491e-05,4.947558e-05,5.7522673e-05
L1586_2,7.0875976e-05,8.495059e-05,1.1747936e-05,0.00011074613,4.346692e-05,2.4799723e-05,2.4780631e-05,6.9434755e-06,1.5547732e-05,1.7454848e-05
L1587_1,4.486181e-06,4.703761e-07,2.5691697e-06,6.316055e-06,1.4389516e-06,2.2297027e-06,1.8344435e-06,2.5901536e-06,9.815558e-07,
L1587_2,3.0787342e-06,3.0369847e-07,1.782304e-06,4.3370965e-06,1.0110089e-06,1.5331025e-06,1.256325e-06,1.7803395e-06,6.725895e-07,1.8156134e-05
L1587_3,1.6283448e-06,1.3201497e-07,9.713694e-07,2.297631e-06,5.6998397e-07,8.1524195e-07,6.6051143e-07,9.457872e-07,3.5419362e-07,9.636686e-06
L1588_3,6.6131586e-05,7.784646e-05,1.0208692e-05,0.00010286155,3.927946e-05,2.003694e-05,2.411427e-05,5.3800177e-06,1.3760524e-05,
L1590_1,1.2675591e-06,4.7308276e-07,1.5956466e-06,1.3874378e-06,4.3641194e-07,,,,,
L1594_2,4.632771e-05,4.7974754e-05,6.32694e-06,7.175142e-05,2.42698e-05,4.1539315e-05,2.2314489e-05,5.3551048e-08,1.796754e-05,0.0003472953
L1598_1,3.9148144e-06,2.2708264e-07,2.3935281e-06,5.554117e-06,1.2451055e-06,2.3502798e-06,1.7592829e-06,2.4498877e-06,8.801435e-07,
L1614_1,1.0969088e-06,2.5093323e-07,9.755022e-07,1.559456e-06,5.0253584e-07,5.776528e-07,5.8360456e-07,8.4277417e-07,1.8162245e-07,6.441929e-06
L1614_3,5.6160934e-07,2.8213253e-07,6.621267e-07,8.41108e-07,4.2592728e-07,3.5179255e-07,2.483357e-07,5.037582e-07,5.5573764e-08,3.423389e-06
L1617_1,1.2220698e-06,1.2023374e-06,1.7997809e-06,1.2984383e-06,7.560011e-07,1.0320218e-07,1.9429717e-06,1.4565885e-06,2.689194e-07,6.3705957e-06
L1618_2,2.4650944e-07,3.0033698e-07,4.296744e-07,3.1910895e-07,7.357448e-08,7.2759576e-08,3.7478458e-07,3.3182732e-07,2.1405867e-08,1.425331e-06
L1620_1,2.464294e-07,3.5569246e-07,4.6173955e-07,7.6433935e-08,4.618705e-07,8.497591e-08,4.800968e-07,2.0240986e-07,1.9866275e-07,1.4634861e-06
L1637_1,3.968249e-05,4.193047e-06,2.72037e-05,9.656162e-05,5.188631e-05,7.71787e-06,4.1220337e-06,1.7130747e-05,2.8104987e-06,2.2138935e-05
L1645_1,1.1142314e-05,1.4720354e-06,5.683927e-06,,,,,,,
L1662_1,1.7778948e-05,4.4756685e-05,6.7253015e-05,5.6142337e-05,1.2962497e-05,1.9637519e-05,5.4899137e-06,2.3924513e-06,3.6251731e-06,
L1715_1,1.8937688e-05,7.879891e-06,1.3752695e-05,2.7484522e-05,8.977106e-06,8.732488e-06,3.4190598e-06,1.123859e-05,7.841154e-07,
L1789_1,1.3546087e-06,4.4863555e-08,1.4062971e-06,2.3983885e-06,6.153714e-07,7.4342825e-07,3.3572724e-07,1.063454e-06,1.5344995e-07,6.368835e-06
L1845_1,2.3504428e-05,4.3162727e-06,1.7352577e-05,3.8877304e-05,9.3946e-06,8.522067e-06,3.5401317e-06,1.5873171e-05,2.2220775e-06,
L1846_1,7.0242444e-05,1.5452737e-05,5.4794597e-05,0.00032289955,2.362905e-05,2.0324253e-05,8.077826e-06,3.881287e-05,2.827961e-06,
L1846_2,6.540422e-05,1.4526537e-05,5.1574316e-05,0.00033287983,2.2237655e-05,1.8493505e-05,7.244991e-06,3.5325997e-05,1.6477425e-06,
L1853_1,7.2654802e-06,1.9524887e-06,6.181217e-06,1.2523291e-05,3.2050884e-06,2.4861074e-06,9.108335e-07,4.982867e-06,2.066372e-07,
L1856_1,3.3835022e-06,9.77212e-07,2.7936694e-06,5.7182406e-06,1.158638e-06,1.0738149e-06,5.461916e-07,2.418703e-06,3.3721153e-07,1.4004661e-05
L1856_2,1.7024795e-06,5.210459e-07,1.4625984e-06,2.904053e-06,6.342598e-07,5.456168e-07,2.5494955e-07,1.2171513e-06,1.0073563e-07,7.045601e-06
L1858_1,2.5758345e-05,6.777991e-06,2.122327e-05,4.368153e-05,1.020456e-05,8.566945e-06,3.7265709e-06,1.7929764e-05,9.489013e-07,0.00015126378
L1868_1,5.6452816e-05,1.2076111e-05,4.600163e-05,8.335372e-05,4.272582e-05,3.1201984e-05,9.521493e-06,7.7918405e-05,1.1297758e-05,0.00015610561
L1868_2,5.4930104e-05,1.2294506e-05,4.458183e-05,8.101831e-05,4.2392407e-05,3.0549592e-05,9.189709e-06,7.932808e-05,1.1559692e-05,0.00015130639
L1875_2,0.00019854307,3.1140633e-05,0.00015190803,0.00021255715,0.0002448042,0.000103250146,2.7378555e-05,2.094917e-05,2.2453256e-05,0.00050778594
L1882_1,4.122252e-06,1.0713411e-06,3.3223769e-06,9.858617e-06,1.5473488e-06,1.4117395e-06,6.4860797e-07,2.969682e-06,3.228779e-07,1.1755867e-05
L1882_2,2.28719e-06,6.039845e-07,1.8840947e-06,5.5255878e-06,9.24716e-07,7.910494e-07,3.3060496e-07,1.6239865e-06,7.304334e-08,6.5042914e-06
L1889_1,3.417593e-05,9.237672e-06,2.754014e-05,0.000403031,7.689698e-06,6.8118097e-06,3.1566015e-06,1.4570891e-05,2.1188753e-06,1.2335251e-05
L189_1,1.3229146e-07,1.1490192e-07,1.7997809e-07,1.2754681e-06,1.7324055e-07,3.248715e-08,3.4458935e-08,7.273047e-08,6.78192e-08,1.2043092e-06
L1893_1,4.379399e-06,1.2721284e-06,3.705034e-06,1.2032193e-05,1.9053987e-06,1.5647965e-06,6.699702e-07,3.291556e-06,3.9572478e-07,1.2735749e-05
L1893_2,2.9261864e-06,8.9834793e-07,2.56559e-06,8.065312e-06,1.41075e-06,1.0684307e-06,4.133908e-07,2.2094464e-06,1.9211438e-07,8.453295e-06
L1893_3,1.4951511e-06,5.301699e-07,1.4434918e-06,4.1589956e-06,9.2369737e-07,5.796319e-07,1.6078411e-07,1.143766e-06,8.440111e-09,4.2363245e-06
L1898_1,1.3448516e-06,3.616151e-07,1.0703297e-06,3.6715646e-06,4.6876812e-07,4.597532e-07,2.3729808e-07,1.0016156e-06,1.8768333e-07,
L1900_1,1.0500662e-06,2.844754e-07,8.378629e-07,2.902918e-06,3.6750862e-07,3.5957055e-07,1.8552237e-07,7.8322046e-07,1.4661782e-07,3.104913e-06
L1901_1,1.9053346e-05,5.034497e-06,1.5160826e-05,0.00044497332,1.7519633e-06,1.507462e-06,6.627524e-07,3.2218813e-06,3.6798883e-07,1.2710603e-05
L1904_1,5.779162e-06,1.4187826e-06,4.4053013e-06,7.2691037e-06,1.8021528e-06,1.8295832e-06,9.287178e-07,3.9198494e-06,6.99496e-07,
L1904_2,2.729248e-06,7.9890015e-07,2.278226e-06,3.4800323e-06,1.0257427e-06,8.91785e-07,4.0182204e-07,1.9180588e-06,2.4750625e-07,
L1908_1,4.037938e-06,1.1138181e-06,3.2094977e-06,5.083406e-06,1.2288219e-06,1.2429955e-06,6.7442306e-07,2.8200593e-06,5.3727126e-07,1.2243938e-05
L1908_2,2.7434871e-06,7.5824937e-07,2.1820888e-06,3.453788e-06,8.352945e-07,8.445786e-07,4.5822526e-07,1.9161234e-06,3.6481651e-07,8.318733e-06
L1908_3,1.3533572e-06,3.7636346e-07,1.0787262e-06,1.7037019e-06,4.1269232e-07,4.1673047e-07,2.2601307e-07,9.453797e-07,1.7962884e-07,4.103553e-06
L1943_1,1.2660166e-07,1.1002703e-07,1.07014785e-07,1.8728315e-07,6.2340405e-08,7.52334e-08,1.6718695e-07,3.207242e-08,2.9336661e-08,8.504285e-07
L1943_3,9.451469e-08,8.213101e-08,7.9890015e-08,1.3980025e-07,4.6551577e-08,5.6184945e-08,1.2479722e-07,2.3952452e-08,2.1900632e-08,6.348273e-07
L1943_4,6.331538e-08,5.5035343e-08,5.3500116e-08,9.364885e-08,3.1162926e-08,3.76167e-08,8.360075e-08,1.603621e-08,1.46756065e-08,4.2525062e-07
L1943_5,2.94458e-08,2.5582267e-08,2.4883775e-08,4.3553882e-08,1.4493708e-08,1.7498678e-08,3.8868166e-08,7.4651325e-09,6.8175723e-09,1.9776053e-07
L1945_1,1.5924161e-07,1.2935197e-07,1.2088276e-07,2.355373e-07,7.840572e-08,9.461655e-08,2.0916923e-07,4.0367013e-08,3.783498e-08,1.0566146e-06
L1945_2,8.1257895e-08,6.602204e-08,6.167102e-08,1.2021337e-07,4.0003215e-08,4.8297807e-08,1.0675285e-07,2.059096e-08,1.9310392e-08,5.392503e-07
L1969_1,4.908943e-07,1.8754508e-07,2.4502078e-06,4.7007197e-06,0.00010261034,5.5111013e-07,1.6312697e-07,7.5060234e-07,3.7558493e-08,5.8063597e-06
L1969_2,2.5666668e-07,9.796349e-08,1.2801756e-06,2.456538e-06,,,,,,
L1989_1,3.8403552e-05,2.6551774e-05,0.00036154967,4.0309038e-05,4.0605664e-05,4.3837354e-06,5.3900294e-06,1.1529541e-05,1.4773104e-05,0.00021387637
L20_1,2.461893e-07,1.7489947e-07,2.8325303e-07,1.9022991e-06,3.1381205e-07,3.2421667e-08,4.937465e-08,1.05050276e-07,1.284352e-07,
L2000_1,1.4599354e-06,4.740723e-07,9.062351e-07,6.239832e-06,9.253563e-07,1.15978764e-07,1.3876706e-07,2.970046e-07,2.977904e-07,4.964706e-06
L2029_1,2.89554e-07,3.5579433e-09,2.9613147e-09,2.518209e-08,1.2514647e-09,1.2296368e-09,8.076313e-10,2.073648e-09,1.3096724e-10,1.2698729e-07
L2035_1,3.8481812e-07,1.8830906e-07,3.07351e-07,2.050183e-06,3.19822e-07,4.4252374e-08,5.576294e-08,1.18532625e-07,1.2473174e-07,1.7478524e-06
L2035_2,6.355549e-07,3.841269e-07,6.326736e-07,4.19571e-06,6.557966e-07,9.0149115e-08,1.1488737e-07,2.4227484e-07,2.560555e-07,3.5157136e-06
L2054_1,5.2263495e-05,2.9453542e-05,2.92412e-05,0.0002400605,7.0366077e-06,1.5700702e-05,1.4803372e-05,3.0124094e-05,9.299256e-07,0.0003887564
L2069_1,2.3656321e-07,1.1704833e-07,2.0502921e-07,1.295819e-06,1.9578874e-07,2.903107e-08,3.5353878e-08,7.534982e-08,7.668859e-08,
L207_1,2.7104688e-06,4.7814683e-07,7.863564e-07,7.891038e-06,1.3337703e-06,1.2753299e-07,1.2340024e-07,2.74973e-07,2.5547342e-07,5.3864205e-06
L207_2,2.5491463e-06,3.4525874e-07,5.586189e-07,6.3747866e-06,1.1140655e-06,8.902862e-08,8.352799e-08,1.9121217e-07,1.7357524e-07,4.033296e-06
L208_1,3.7363498e-07,1.0406366e-06,2.8130336e-05,1.6578619e-05,,,,,,
L2086_1,2.5525456e-05,6.224285e-05,5.037361e-05,3.5017729e-06,1.02003105e-05,2.348586e-05,3.1137606e-05,4.5222463e-05,5.006534e-05,0.00014513638
L2086_2,3.0097552e-05,6.228965e-05,4.5199413e-05,4.6086498e-06,1.1868542e-05,2.378528e-05,3.219815e-05,3.9481325e-05,5.0371513e-05,0.00012105005
L2095_1,7.390976e-05,3.3169985e-05,8.542836e-05,0.000109136105,3.616512e-05,4.389882e-05,8.548796e-05,1.847744e-05,2.759695e-05,0.00036239624
L2112_1,4.4106157e-05,4.935864e-06,1.0373042e-05,2.9800576e-06,2.071081e-05,1.8050516e-05,2.118264e-06,3.5166217e-05,4.8835936e-06,6.677103e-05
L2112_2,4.5096822e-05,4.8714282e-06,1.166822e-05,2.6315392e-06,2.111672e-05,1.857651e-05,2.2226595e-06,,,
L2115_2,3.198191e-05,2.9713265e-06,1.208717e-05,8.528761e-06,1.4760182e-05,1.3113371e-05,2.6988564e-06,1.0670396e-05,2.2083987e-06,4.1107356e-05
L2173_1,1.1758308e-05,,,,,,,,,
L2194_1,3.1578093e-06,5.4732664e-07,5.157548e-06,7.979033e-06,1.6914564e-06,1.993918e-06,1.0031654e-06,3.8612197e-06,1.6923877e-07,1.6666294e-05
L2194_2,2.5424524e-06,3.783498e-07,4.1677995e-06,6.491333e-06,1.4381221e-06,1.6255362e-06,8.0498285e-07,3.0683732e-06,2.5125337e-07,1.3522324e-05
L2211_1,3.6801794e-08,1.2719829e-07,1.7548155e-07,5.4817065e-08,1.8277206e-08,2.1973392e-08,6.0215825e-08,9.458745e-09,1.4842954e-09,3.840687e-07
L2211_2,1.8488208e-08,6.388291e-08,8.81264e-08,2.7524948e-08,9.1749826e-09,1.1044904e-08,3.0224328e-08,4.7584763e-09,7.4942363e-10,1.9287836e-07
L2215_1,2.8812792e-08,3.2188836e-07,4.824251e-07,4.3888576e-08,1.46683306e-08,1.7578714e-08,7.4272975e-08,7.566996e-09,2.4563633e-08,
L2216_1,6.519258e-09,7.271592e-08,1.0897929e-07,9.909854e-09,3.3323886e-09,4.0017767e-09,1.6763806e-08,1.7316779e-09,5.529728e-09,1.6452104e-06
L2223_1,1.14159775e-08,3.1468517e-08,4.2302418e-08,1.6960257e-08,5.646143e-09,6.8030204e-09,1.7695129e-08,2.932211e-09,3.7107384e-10,1.0761141e-07
L2224_1,4.1385647e-08,1.4300167e-07,1.9726576e-07,6.162736e-08,2.0561856e-08,2.4752808e-08,6.7666406e-08,1.0652002e-08,1.6880222e-09,4.3176988e-07
L2224_2,1.9179424e-08,6.6298526e-08,9.146606e-08,2.856541e-08,9.5242285e-09,1.1459633e-08,3.138848e-08,4.9330993e-09,7.930794e-10,2.0018342e-07
L2225_1,4.11761e-07,1.0780059e-07,3.6507845e-07,5.9837475e-07,1.9941945e-07,2.3411121e-07,4.7602225e-07,1.04832e-07,1.519802e-07,2.0643347e-06
L2227_1,1.91867e-08,6.6283974e-08,9.142241e-08,2.8536306e-08,9.509677e-09,1.1437805e-08,3.1366653e-08,4.9330993e-09,7.7852746e-10,2.0005973e-07
L2229_1,3.824971e-08,5.109905e-08,5.9437298e-08,5.6657882e-08,1.8866558e-08,2.2744644e-08,5.2714313e-08,9.735231e-09,6.9630914e-09,2.8263457e-07
L2230_1,1.3883691e-06,6.817281e-07,1.6943086e-06,2.049841e-06,6.793998e-07,8.2468614e-07,1.5983824e-06,3.4691766e-07,5.2386895e-07,6.722752e-06
L2230_2,1.3990793e-06,6.5215863e-07,1.6542617e-06,2.0656735e-06,6.845221e-07,8.312054e-07,1.615379e-06,3.4971163e-07,5.243346e-07,6.825896e-06
L2230_3,1.4100224e-06,6.2491745e-07,1.6186386e-06,2.0819716e-06,6.898772e-07,8.37259e-07,1.63191e-06,3.525056e-07,5.2526593e-07,6.923219e-06
L2232_1,5.1804818e-08,5.782349e-07,8.660136e-07,7.892959e-08,2.6309863e-08,3.1664968e-08,1.3347017e-07,1.3737008e-08,4.4121407e-08,0.00025712844
L2233_1,1.7345883e-07,4.2913598e-08,5.912734e-07,1.0101503e-06,2.1362212e-07,2.8104114e-07,9.0003596e-08,3.8335565e-07,5.8935257e-09,2.8478971e-06
L2246_1,1.8705032e-07,1.1894008e-07,2.1416781e-07,2.788729e-07,5.973561e-09,5.993934e-08,1.9856088e-07,2.6430644e-07,1.5512342e-08,9.2984556e-07
